Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5m shot - Post,9.0,4,1,10,RUS,3.0,TIMOFEEVA A,10 - 4,305,RUS,5:05
Turnover foul,8.0,4,1,10,RUS,3.0,TARDY M,10 - 4,275,FRA,4:35
Steal,4.0,4,1,10,RUS,3.0,KARIMOVA E,10 - 4,275,RUS,4:35
Turnover foul,12.0,4,1,10,RUS,3.0,IARONDAIKINA N,10 - 4,251,RUS,4:11
Steal,8.0,4,1,10,RUS,3.0,TARDY M,10 - 4,251,FRA,4:11
Action shot - Goal,7.0,4,1,11,RUS,3.0,LISUNOVA E,11 - 4,204,RUS,3:24
5m shot - Saved,12.0,4,1,11,RUS,3.0,JASKOVA M,11 - 4,171,FRA,2:51
Penalty foul,5.0,4,1,11,RUS,3.0,GUILLET L,11 - 4,154,FRA,2:34
Action shot - Saved,5.0,4,1,11,RUS,3.0,ZUBACHEVA E,11 - 4,139,RUS,2:19
20 sec. exclusion in centre,3.0,4,1,11,RUS,3.0,BACHELIER L,11 - 4,134,FRA,2:14
Exclusion with substitution,3.0,4,1,11,RUS,3.0,BACHELIER L,11 - 4,134,FRA,2:14
Action shot - Goal,3.0,4,1,12,RUS,3.0,PROKOFYEVA E,12 - 4,134,RUS,2:14
5m shot - Missed,2.0,4,1,12,RUS,3.0,MILLOT E,12 - 4,109,FRA,1:49
Turnover foul,6.0,4,1,12,RUS,3.0,SIMANOVICH A,12 - 4,89,RUS,1:29
Steal,5.0,4,1,12,RUS,3.0,GUILLET L,12 - 4,89,FRA,1:29
5m shot - Post,8.0,4,1,12,RUS,3.0,TARDY M,12 - 4,62,FRA,1:02
Turnover foul,2.0,4,1,12,RUS,3.0,ZUBKOVA T,12 - 4,40,RUS,0:40
Time-Out,,4,1,12,RUS,3.0,,12 - 4,40,FRA,0:40
20 sec. exclusion in centre,6.0,4,1,12,RUS,3.0,SIMANOVICH A,12 - 4,14,RUS,0:14
Action shot - Saved,5.0,4,1,12,RUS,3.0,GUILLET L,12 - 4,9,FRA,0:09
Time-Out,,4,1,12,RUS,3.0,,12 - 4,9,RUS,0:09
Action shot - Blocked,7.0,4,1,12,RUS,3.0,LISUNOVA E,12 - 4,3,RUS,0:03
Starting goalkeeper,1.0,4,1,12,RUS,4.0,VERKHOGLYADOVA A,12 - 4,480,RUS,8:00
Starting goalkeeper,1.0,4,1,12,RUS,4.0,DERENTY L,12 - 4,480,FRA,8:00
Sprint won possession,4.0,4,1,12,RUS,4.0,KARIMOVA E,12 - 4,480,RUS,8:00
Turnover foul,7.0,4,1,12,RUS,4.0,LISUNOVA E,12 - 4,459,RUS,7:39
Steal,1.0,4,1,12,RUS,4.0,DERENTY L,12 - 4,459,FRA,7:39
Action shot - Goal,11.0,4,1,13,RUS,4.0,IVANOVA E,13 - 4,425,RUS,7:05
Turnover foul,2.0,4,1,13,RUS,4.0,MILLOT E,13 - 4,413,FRA,6:53
Steal,4.0,4,1,13,RUS,4.0,KARIMOVA E,13 - 4,413,RUS,6:53
Action shot - Saved,7.0,4,1,13,RUS,4.0,LISUNOVA E,13 - 4,400,RUS,6:40
20 sec. exclusion in centre,7.0,4,1,13,RUS,4.0,BARBIEUX M,13 - 4,386,FRA,6:26
Action shot - Saved,9.0,4,1,13,RUS,4.0,TIMOFEEVA A,13 - 4,375,RUS,6:15
Action shot - Post,12.0,4,1,13,RUS,4.0,IARONDAIKINA N,13 - 4,365,RUS,6:05
Turnover foul,5.0,4,1,13,RUS,4.0,GUILLET L,13 - 4,337,FRA,5:37
Steal,12.0,4,1,13,RUS,4.0,IARONDAIKINA N,13 - 4,337,RUS,5:37
Action shot - Goal,4.0,4,1,14,RUS,4.0,KARIMOVA E,14 - 4,330,RUS,5:30
Action shot - Goal,8.0,5,1,14,RUS,4.0,TARDY M,14 - 5,303,FRA,5:03
20 sec. exclusion in centre,11.0,5,1,14,RUS,4.0,DESCHAMPT Y,14 - 5,285,FRA,4:45
Extra player shot - Post,2.0,5,1,14,RUS,4.0,ZUBKOVA T,14 - 5,272,RUS,4:32
5m shot - Post,5.0,5,1,14,RUS,4.0,GUILLET L,14 - 5,242,FRA,4:02
5m shot - Goal,12.0,5,1,15,RUS,4.0,IARONDAIKINA N,15 - 5,181,RUS,3:01
Action shot - Saved,4.0,5,1,15,RUS,4.0,SACRE A,15 - 5,155,FRA,2:35
5m shot - Missed,5.0,5,1,15,RUS,4.0,GUILLET L,15 - 5,127,FRA,2:07
Action shot - Goal,5.0,5,1,16,RUS,4.0,ZUBACHEVA E,16 - 5,107,RUS,1:47
Turnover foul,5.0,5,1,16,RUS,4.0,GUILLET L,16 - 5,81,FRA,1:21
Steal,10.0,5,1,16,RUS,4.0,TANKEEVA E,16 - 5,81,RUS,1:21
20 sec. exclusion in centre,4.0,5,1,16,RUS,4.0,SACRE A,16 - 5,60,FRA,1:00
Action shot - Post,10.0,5,1,16,RUS,4.0,TANKEEVA E,16 - 5,56,RUS,0:56
Time-Out,,5,1,16,RUS,4.0,,16 - 5,46,FRA,0:46
5m shot - Saved,5.0,5,1,16,RUS,4.0,GUILLET L,16 - 5,23,FRA,0:23
Time-Out,,5,1,16,RUS,4.0,,16 - 5,23,RUS,0:23
20 sec. exclusion in centre,8.0,5,1,16,RUS,4.0,TARDY M,16 - 5,13,FRA,0:13
5m shot - Saved,5.0,5,1,16,RUS,4.0,GUILLET L,16 - 5,0,FRA,0:00
Starting goalkeeper,1.0,0,2,0,CHN,1.0,DERENTY L,0 - 0,480,FRA,8:00
Starting goalkeeper,1.0,0,2,0,CHN,1.0,YANG J,0 - 0,480,CHN,8:00
Sprint won possession,5.0,0,2,0,CHN,1.0,NIU G,0 - 0,480,CHN,8:00
20 sec. exclusion in centre,7.0,0,2,0,CHN,1.0,BARBIEUX M,0 - 0,459,FRA,7:39
Extra player shot - Post,11.0,0,2,0,CHN,1.0,WANG X,0 - 0,442,CHN,7:22
Turnover foul,5.0,0,2,0,CHN,1.0,GUILLET L,0 - 0,413,FRA,6:53
Turnover foul,6.0,0,2,0,CHN,1.0,SUN Y,0 - 0,392,CHN,6:32
20 sec. exclusion in centre,11.0,0,2,0,CHN,1.0,WANG X,0 - 0,370,CHN,6:10
Extra player shot - Goal,4.0,1,2,0,CHN,1.0,SACRE A,1 - 0,353,FRA,5:53
5m shot - Post,11.0,1,2,0,CHN,1.0,WANG X,1 - 0,321,CHN,5:21
5m shot - Saved,5.0,1,2,0,CHN,1.0,GUILLET L,1 - 0,287,FRA,4:47
20 sec. exclusion in centre,11.0,1,2,0,CHN,1.0,DESCHAMPT Y,1 - 0,274,FRA,4:34
Extra player shot - Goal,7.0,1,2,1,CHN,1.0,SONG D,1 - 1,259,CHN,4:19
5m shot - Blocked,3.0,1,2,1,CHN,1.0,BACHELIER L,1 - 1,226,FRA,3:46
Turnover foul,5.0,1,2,1,CHN,1.0,NIU G,1 - 1,207,CHN,3:27
5m shot - Post,2.0,1,2,1,CHN,1.0,MILLOT E,1 - 1,184,FRA,3:04
Action shot - Post,5.0,1,2,1,CHN,1.0,NIU G,1 - 1,167,CHN,2:47
5m shot - Saved,8.0,1,2,1,CHN,1.0,ZHANG C,1 - 1,146,CHN,2:26
20 sec. exclusion in centre,9.0,1,2,1,CHN,1.0,ZHAO Z,1 - 1,121,CHN,2:01
Time-Out,,1,2,1,CHN,1.0,,1 - 1,121,FRA,2:01
Turnover foul,4.0,1,2,1,CHN,1.0,SACRE A,1 - 1,98,FRA,1:38
Steal,7.0,1,2,1,CHN,1.0,SONG D,1 - 1,98,CHN,1:38
Centre shot - Saved,6.0,1,2,1,CHN,1.0,SUN Y,1 - 1,70,CHN,1:10
Action shot - Missed,3.0,1,2,1,CHN,1.0,BACHELIER L,1 - 1,45,FRA,0:45
Action shot - Goal,9.0,1,2,2,CHN,1.0,ZHAO Z,1 - 2,32,CHN,0:32
20 sec. exclusion in centre,8.0,1,2,2,CHN,1.0,ZHANG C,1 - 2,10,CHN,0:10
Extra player shot - Blocked,2.0,1,2,2,CHN,1.0,MILLOT E,1 - 2,4,FRA,0:04
Starting goalkeeper,1.0,1,2,2,CHN,2.0,DERENTY L,1 - 2,480,FRA,8:00
Starting goalkeeper,1.0,1,2,2,CHN,2.0,YANG J,1 - 2,480,CHN,8:00
Sprint won possession,5.0,1,2,2,CHN,2.0,NIU G,1 - 2,480,CHN,8:00
Action shot - Saved,5.0,1,2,2,CHN,2.0,NIU G,1 - 2,457,CHN,7:37
5m shot - Goal,5.0,2,2,2,CHN,2.0,GUILLET L,2 - 2,432,FRA,7:12
20 sec. exclusion in centre,7.0,2,2,2,CHN,2.0,BARBIEUX M,2 - 2,412,FRA,6:52
Extra player shot - Blocked,12.0,2,2,2,CHN,2.0,ZHANG J,2 - 2,402,CHN,6:42
Action shot - Blocked,3.0,2,2,2,CHN,2.0,BACHELIER L,2 - 2,383,FRA,6:23
Turnover foul,5.0,2,2,2,CHN,2.0,NIU G,2 - 2,358,CHN,5:58
Double exclusion,7.0,2,2,2,CHN,2.0,SONG D,2 - 2,337,CHN,5:37
Double exclusion,6.0,2,2,2,CHN,2.0,MAHIEU G,2 - 2,337,FRA,5:37
Action shot - Post,8.0,2,2,2,CHN,2.0,ZHANG C,2 - 2,305,CHN,5:05
Turnover foul,7.0,2,2,2,CHN,2.0,SONG D,2 - 2,283,CHN,4:43
20 sec. exclusion in centre,11.0,2,2,2,CHN,2.0,WANG X,2 - 2,273,CHN,4:33
Extra player shot - Saved,12.0,2,2,2,CHN,2.0,JASKOVA M,2 - 2,263,FRA,4:23
5m shot - Post,7.0,2,2,2,CHN,2.0,SONG D,2 - 2,247,CHN,4:07
Turnover foul,5.0,2,2,2,CHN,2.0,GUILLET L,2 - 2,235,FRA,3:55
Action shot - Post,5.0,2,2,2,CHN,2.0,NIU G,2 - 2,215,CHN,3:35
Turnover foul,2.0,2,2,2,CHN,2.0,MILLOT E,2 - 2,186,FRA,3:06
Steal,12.0,2,2,2,CHN,2.0,ZHANG J,2 - 2,186,CHN,3:06
Turnover foul,11.0,2,2,2,CHN,2.0,WANG X,2 - 2,162,CHN,2:42
Steal,3.0,2,2,2,CHN,2.0,BACHELIER L,2 - 2,162,FRA,2:42
5m shot - Saved,5.0,2,2,2,CHN,2.0,GUILLET L,2 - 2,133,FRA,2:13
Time-Out,,2,2,2,CHN,2.0,,2 - 2,127,CHN,2:07
5m shot - Saved,9.0,2,2,2,CHN,2.0,ZHAO Z,2 - 2,119,CHN,1:59
Action shot - Missed,8.0,2,2,2,CHN,2.0,ZHANG C,2 - 2,99,CHN,1:39
Turnover foul,2.0,2,2,2,CHN,2.0,MILLOT E,2 - 2,78,FRA,1:18
20 sec. exclusion in centre,5.0,2,2,2,CHN,2.0,GUILLET L,2 - 2,78,FRA,1:18
Extra player shot - Saved,7.0,2,2,2,CHN,2.0,SONG D,2 - 2,69,CHN,1:09
Time-Out,,2,2,2,CHN,2.0,,2 - 2,68,FRA,1:08
Turnover foul,5.0,2,2,2,CHN,2.0,GUILLET L,2 - 2,49,FRA,0:49
Steal,7.0,2,2,2,CHN,2.0,SONG D,2 - 2,49,CHN,0:49
20 sec. exclusion in centre,12.0,2,2,2,CHN,2.0,JASKOVA M,2 - 2,46,FRA,0:46
20 sec. exclusion in centre,3.0,2,2,2,CHN,2.0,BACHELIER L,2 - 2,18,FRA,0:18
5m shot - Post,9.0,2,2,2,CHN,2.0,ZHAO Z,2 - 2,1,CHN,0:01
Starting goalkeeper,1.0,2,2,2,CHN,3.0,DERENTY L,2 - 2,480,FRA,8:00
Starting goalkeeper,1.0,2,2,2,CHN,3.0,YANG J,2 - 2,480,CHN,8:00
Sprint won possession,5.0,2,2,2,CHN,3.0,NIU G,2 - 2,480,CHN,8:00
Penalty foul,2.0,2,2,2,CHN,3.0,MILLOT E,2 - 2,464,FRA,7:44
Penalty shot - Goal,9.0,2,2,3,CHN,3.0,ZHAO Z,2 - 3,464,CHN,7:44
5m shot - Saved,2.0,2,2,3,CHN,3.0,MILLOT E,2 - 3,438,FRA,7:18
Action shot - Goal,5.0,3,2,3,CHN,3.0,GUILLET L,3 - 3,411,FRA,6:51
Centre shot - Saved,6.0,3,2,3,CHN,3.0,SUN Y,3 - 3,398,CHN,6:38
20 sec. exclusion in centre,3.0,3,2,3,CHN,3.0,MEI X,3 - 3,379,CHN,6:19
Extra player shot - Saved,8.0,3,2,3,CHN,3.0,ZHANG C,3 - 3,362,CHN,6:02
5m shot - Goal,9.0,3,2,4,CHN,3.0,ZHAO Z,3 - 4,343,CHN,5:43
5m shot - Saved,4.0,3,2,4,CHN,3.0,SACRE A,3 - 4,314,FRA,5:14
Turnover foul,5.0,3,2,4,CHN,3.0,GUILLET L,3 - 4,292,FRA,4:52
Steal,5.0,3,2,4,CHN,3.0,NIU G,3 - 4,292,CHN,4:52
5m shot - Goal,3.0,3,2,5,CHN,3.0,MEI X,3 - 5,266,CHN,4:26
20 sec. exclusion in centre,10.0,3,2,5,CHN,3.0,ZHANG W,3 - 5,248,CHN,4:08
Time-Out,,3,2,5,CHN,3.0,,3 - 5,248,FRA,4:08
Action shot - Saved,4.0,3,2,5,CHN,3.0,SACRE A,3 - 5,224,FRA,3:44
5m shot - Missed,3.0,3,2,5,CHN,3.0,MEI X,3 - 5,191,CHN,3:11
5m shot - Missed,5.0,3,2,5,CHN,3.0,GUILLET L,3 - 5,162,FRA,2:42
Turnover foul,9.0,3,2,5,CHN,3.0,ZHAO Z,3 - 5,147,CHN,2:27
5m shot - Missed,4.0,3,2,5,CHN,3.0,SACRE A,3 - 5,118,FRA,1:58
Action shot - Goal,5.0,3,2,6,CHN,3.0,NIU G,3 - 6,102,CHN,1:42
Steal,5.0,3,2,6,CHN,3.0,NIU G,3 - 6,73,CHN,1:13
Turnover foul,8.0,3,2,6,CHN,3.0,TARDY M,3 - 6,73,FRA,1:13
5m shot - Goal,5.0,3,2,7,CHN,3.0,NIU G,3 - 7,43,CHN,0:43
Turnover foul,5.0,3,2,7,CHN,3.0,GUILLET L,3 - 7,14,FRA,0:14
Time-Out,,3,2,7,CHN,3.0,,3 - 7,14,CHN,0:14
5m shot - Goal,5.0,3,2,8,CHN,3.0,NIU G,3 - 8,5,CHN,0:05
Starting goalkeeper,1.0,3,2,8,CHN,4.0,DERENTY L,3 - 8,480,FRA,8:00
Starting goalkeeper,1.0,3,2,8,CHN,4.0,YANG J,3 - 8,480,CHN,8:00
Sprint won possession,5.0,3,2,8,CHN,4.0,NIU G,3 - 8,480,CHN,8:00
Action shot - Goal,4.0,3,2,9,CHN,4.0,XIONG D,3 - 9,454,CHN,7:34
Exclusion with substitution,11.0,3,2,9,CHN,4.0,WANG X,3 - 9,429,CHN,7:09
20 sec. exclusion in centre,11.0,3,2,9,CHN,4.0,WANG X,3 - 9,429,CHN,7:09
Extra player shot - Saved,4.0,3,2,9,CHN,4.0,SACRE A,3 - 9,404,FRA,6:44
Action shot - Goal,5.0,3,2,10,CHN,4.0,NIU G,3 - 10,388,CHN,6:28
5m shot - Missed,2.0,3,2,10,CHN,4.0,MILLOT E,3 - 10,360,FRA,6:00
Action shot - Goal,4.0,3,2,11,CHN,4.0,XIONG D,3 - 11,336,CHN,5:36
Exclusion with substitution,7.0,3,2,11,CHN,4.0,SONG D,3 - 11,336,CHN,5:36
Exclusion with substitution,6.0,3,2,11,CHN,4.0,MAHIEU G,3 - 11,336,FRA,5:36
Turnover foul,3.0,3,2,11,CHN,4.0,BACHELIER L,3 - 11,308,FRA,5:08
Steal,3.0,3,2,11,CHN,4.0,MEI X,3 - 11,308,CHN,5:08
Centre shot - Saved,4.0,3,2,11,CHN,4.0,XIONG D,3 - 11,292,CHN,4:52
20 sec. exclusion in centre,3.0,3,2,11,CHN,4.0,MEI X,3 - 11,273,CHN,4:33
20 sec. exclusion in centre,10.0,3,2,11,CHN,4.0,ZHANG W,3 - 11,253,CHN,4:13
Extra player shot - Saved,5.0,3,2,11,CHN,4.0,GUILLET L,3 - 11,240,FRA,4:00
Centre shot - Goal,3.0,4,2,11,CHN,4.0,BACHELIER L,4 - 11,225,FRA,3:45
20 sec. exclusion in centre,3.0,4,2,11,CHN,4.0,BACHELIER L,4 - 11,210,FRA,3:30
Extra player shot - Saved,10.0,4,2,11,CHN,4.0,ZHANG W,4 - 11,191,CHN,3:11
Goalkeeper substitution,13.0,4,2,11,CHN,4.0,PENG L,4 - 11,175,CHN,2:55
Turnover foul,5.0,4,2,11,CHN,4.0,GUILLET L,4 - 11,164,FRA,2:44
5m shot - Blocked,5.0,4,2,11,CHN,4.0,NIU G,4 - 11,128,CHN,2:08
5m shot - Goal,5.0,4,2,12,CHN,4.0,NIU G,4 - 12,115,CHN,1:55
Turnover foul,4.0,4,2,12,CHN,4.0,SACRE A,4 - 12,91,FRA,1:31
5m shot - Goal,5.0,4,2,13,CHN,4.0,NIU G,4 - 13,64,CHN,1:04
Time-Out,,4,2,13,CHN,4.0,,4 - 13,64,FRA,1:04
20 sec. exclusion in centre,8.0,4,2,13,CHN,4.0,ZHANG C,4 - 13,45,CHN,0:45
Extra player shot - Post,3.0,4,2,13,CHN,4.0,BACHELIER L,4 - 13,28,FRA,0:28
20 sec. exclusion in centre,12.0,4,2,13,CHN,4.0,JASKOVA M,4 - 13,1,FRA,0:01
Extra player shot - Missed,10.0,4,2,13,CHN,4.0,ZHANG W,4 - 13,0,CHN,0:00
Sprint won possession,4.0,0,3,0,HUN,1.0,KISTELEKI D,0 - 0,480,HUN,8:00
Starting goalkeeper,1.0,0,3,0,HUN,1.0,DERENTY L,0 - 0,480,FRA,8:00
Starting goalkeeper,13.0,0,3,0,HUN,1.0,GANGL E,0 - 0,480,HUN,8:00
Turnover foul,5.0,0,3,0,HUN,1.0,SZUCS G,0 - 0,456,HUN,7:36
Turnover foul,1.0,0,3,0,HUN,1.0,DERENTY L,0 - 0,436,FRA,7:16
20 sec. exclusion in centre,7.0,0,3,0,HUN,1.0,BARBIEUX M,0 - 0,419,FRA,6:59
Extra player shot - Goal,8.0,0,3,1,HUN,1.0,KESZTHELYI R,1 - 0,405,HUN,6:45
5m shot - Post,4.0,0,3,1,HUN,1.0,SACRE A,1 - 0,377,FRA,6:17
20 sec. exclusion in centre,8.0,0,3,1,HUN,1.0,TARDY M,1 - 0,370,FRA,6:10
Extra player shot - Goal,8.0,0,3,2,HUN,1.0,KESZTHELYI R,2 - 0,363,HUN,6:03
Turnover foul,12.0,0,3,2,HUN,1.0,MENCZINGER K,2 - 0,308,HUN,5:08
Steal,12.0,0,3,2,HUN,1.0,JASKOVA M,2 - 0,308,FRA,5:08
Action shot - Blocked,2.0,0,3,2,HUN,1.0,MILLOT E,2 - 0,287,FRA,4:47
5m shot - Saved,12.0,0,3,2,HUN,1.0,JASKOVA M,2 - 0,266,FRA,4:26
Action shot - Goal,10.0,0,3,3,HUN,1.0,BUJKA B,3 - 0,239,HUN,3:59
Turnover foul,5.0,0,3,3,HUN,1.0,GUILLET L,3 - 0,217,FRA,3:37
5m shot - Saved,12.0,0,3,3,HUN,1.0,MENCZINGER K,3 - 0,194,HUN,3:14
Turnover foul,5.0,0,3,3,HUN,1.0,GUILLET L,3 - 0,166,FRA,2:46
5m shot - Post,2.0,0,3,3,HUN,1.0,CZIGANY D,3 - 0,143,HUN,2:23
Centre shot - Goal,9.0,0,3,4,HUN,1.0,TOTH I,4 - 0,133,HUN,2:13
20 sec. exclusion in centre,2.0,0,3,4,HUN,1.0,CZIGANY D,4 - 0,115,HUN,1:55
Time-Out,,0,3,4,HUN,1.0,,4 - 0,115,FRA,1:55
Extra player shot - Goal,12.0,1,3,4,HUN,1.0,JASKOVA M,4 - 1,96,FRA,1:36
5m shot - Goal,8.0,1,3,5,HUN,1.0,KESZTHELYI R,5 - 1,68,HUN,1:08
Turnover foul,12.0,1,3,5,HUN,1.0,JASKOVA M,5 - 1,39,FRA,0:39
Time-Out,,1,3,5,HUN,1.0,,5 - 1,37,HUN,0:37
Turnover foul,8.0,1,3,5,HUN,1.0,KESZTHELYI R,5 - 1,20,HUN,0:20
20 sec. exclusion in centre,7.0,1,3,5,HUN,1.0,ILLES A,5 - 1,3,HUN,0:03
Starting goalkeeper,1.0,1,3,5,HUN,2.0,DERENTY L,5 - 1,480,FRA,8:00
Sprint won possession,8.0,1,3,5,HUN,2.0,KESZTHELYI R,5 - 1,480,HUN,8:00
Starting goalkeeper,13.0,1,3,5,HUN,2.0,GANGL E,5 - 1,480,HUN,8:00
