Action,Cap,Game,NED,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,9.0,1,9,12,ESP,4.0,BLAS A,12 - 9,203,ESP,3:23,Saved,0
5m shot,7.0,1,9,12,ESP,4.0,van BELKUM I,12 - 9,187,NED,3:07,Saved,0
Extra player shot,8.0,1,10,12,ESP,4.0,SEVENICH V,12 - 10,143,NED,2:23,Goal,1
Extra player shot,4.0,1,10,12,ESP,4.0,TARRAGO R,12 - 10,108,ESP,1:48,Post,0
Action shot,3.0,1,10,13,ESP,4.0,ESPAR A,13 - 10,102,ESP,1:42,Goal,1
Action shot,4.0,1,11,14,ESP,4.0,TARRAGO R,14 - 11,23,ESP,0:23,Goal,1
5m shot,11.0,1,12,14,ESP,4.0,KLAASSEN L,14 - 12,13,NED,0:13,Goal,1
5m shot,11.0,2,1,0,UZB,1.0,KLAASSEN L,0 - 1,440,NED,7:20,Goal,1
5m shot,7.0,2,2,0,UZB,1.0,van BELKUM I,0 - 2,394,NED,6:34,Goal,1
Penalty shot,3.0,2,2,1,UZB,1.0,SARANCHA A,1 - 2,382,UZB,6:22,Goal,1
5m shot,10.0,2,3,1,UZB,1.0,GENEE D,1 - 3,364,NED,6:04,Goal,1
Extra player shot,9.0,2,4,1,UZB,1.0,SLAGTER C,1 - 4,332,NED,5:32,Goal,1
Centre shot,2.0,2,5,1,UZB,1.0,SMIT Y,1 - 5,293,NED,4:53,Goal,1
Centre shot,12.0,2,6,1,UZB,1.0,van der MOLEN l,1 - 6,249,NED,4:09,Goal,1
Centre shot,8.0,2,6,1,UZB,1.0,SEVENICH V,1 - 6,210,NED,3:30,Saved,0
Centre shot,8.0,2,7,1,UZB,1.0,SEVENICH V,1 - 7,165,NED,2:45,Goal,1
Counter attack,8.0,2,7,1,UZB,1.0,SEVENICH V,1 - 7,121,NED,2:01,Post,0
Action shot,7.0,2,7,1,UZB,1.0,PLYUSOVA N,1 - 7,94,UZB,1:34,Blocked,0
5m shot,2.0,2,7,1,UZB,1.0,SMIT Y,1 - 7,76,NED,1:16,Post,0
5m shot,7.0,2,7,1,UZB,1.0,PLYUSOVA N,1 - 7,49,UZB,0:49,Saved,0
5m shot,9.0,2,7,1,UZB,1.0,SLAGTER C,1 - 7,24,NED,0:24,Saved,0
Centre shot,8.0,2,7,1,UZB,1.0,SEVENICH V,1 - 7,4,NED,0:04,Post,0
Centre shot,12.0,2,8,1,UZB,2.0,van der MOLEN l,1 - 8,453,NED,7:33,Goal,1
5m shot,7.0,2,8,1,UZB,2.0,van BELKUM I,1 - 8,414,NED,6:54,Saved,0
Extra player shot,5.0,2,8,1,UZB,2.0,van der SLOOT S,1 - 8,386,NED,6:26,Post,0
Action shot,5.0,2,8,1,UZB,2.0,van der SLOOT S,1 - 8,376,NED,6:16,Post,0
Centre shot,12.0,2,9,1,UZB,2.0,van der MOLEN l,1 - 9,336,NED,5:36,Goal,1
Action shot,4.0,2,9,1,UZB,2.0,HAKHVERDIAN B,1 - 9,295,NED,4:55,Post,0
Action shot,4.0,2,10,1,UZB,2.0,HAKHVERDIAN B,1 - 10,245,NED,4:05,Goal,1
Action shot,9.0,2,10,1,UZB,2.0,SLAGTER C,1 - 10,211,NED,3:31,Saved,0
Centre shot,3.0,2,11,1,UZB,2.0,NIJHUIS M,1 - 11,194,NED,3:14,Goal,1
Action shot,9.0,2,12,1,UZB,2.0,SLAGTER C,1 - 12,162,NED,2:42,Goal,1
5m shot,7.0,2,12,1,UZB,2.0,PLYUSOVA N,1 - 12,134,UZB,2:14,Missed,0
Action shot,9.0,2,13,1,UZB,2.0,SLAGTER C,1 - 13,123,NED,2:03,Goal,1
Action shot,7.0,2,14,1,UZB,2.0,van BELKUM I,1 - 14,89,NED,1:29,Goal,1
Action shot,10.0,2,15,1,UZB,2.0,GENEE D,1 - 15,51,NED,0:51,Goal,1
5m shot,9.0,2,15,1,UZB,2.0,HALIKOVA R,1 - 15,26,UZB,0:26,Saved,0
Action shot,5.0,2,16,1,UZB,2.0,van der SLOOT S,1 - 16,12,NED,0:12,Goal,1
Extra player shot,11.0,2,17,1,UZB,3.0,KLAASSEN L,1 - 17,423,NED,7:03,Goal,1
Extra player shot,7.0,2,17,1,UZB,3.0,PLYUSOVA N,1 - 17,384,UZB,6:24,Post,0
Action shot,7.0,2,17,2,UZB,3.0,PLYUSOVA N,2 - 17,380,UZB,6:20,Goal,1
Action shot,5.0,2,17,2,UZB,3.0,van der SLOOT S,2 - 17,359,NED,5:59,Post,0
Centre shot,3.0,2,17,2,UZB,3.0,SARANCHA A,2 - 17,346,UZB,5:46,Saved,0
5m shot,10.0,2,17,2,UZB,3.0,ZINUROVA A,2 - 17,304,UZB,5:04,Saved,0
Action shot,6.0,2,17,2,UZB,3.0,STOMPHORST N,2 - 17,292,NED,4:52,Post,0
Action shot,2.0,2,18,2,UZB,3.0,SMIT Y,2 - 18,290,NED,4:50,Goal,1
5m shot,10.0,2,18,2,UZB,3.0,ZINUROVA A,2 - 18,267,UZB,4:27,Post,0
5m shot,11.0,2,18,2,UZB,3.0,KLAASSEN L,2 - 18,245,NED,4:05,Missed,0
Action shot,5.0,2,18,2,UZB,3.0,van der SLOOT S,2 - 18,198,NED,3:18,Saved,0
Action shot,11.0,2,19,2,UZB,3.0,KLAASSEN L,2 - 19,159,NED,2:39,Goal,1
5m shot,10.0,2,20,2,UZB,3.0,GENEE D,2 - 20,116,NED,1:56,Goal,1
5m shot,8.0,2,21,2,UZB,3.0,SEVENICH V,2 - 21,92,NED,1:32,Goal,1
Action shot,9.0,2,22,2,UZB,3.0,SLAGTER C,2 - 22,51,NED,0:51,Goal,1
Extra player shot,9.0,2,22,2,UZB,3.0,HALIKOVA R,2 - 22,9,UZB,0:09,Post,0
Extra player shot,2.0,2,22,2,UZB,3.0,SMIT Y,2 - 22,2,NED,0:02,Saved,0
5m shot,11.0,2,23,2,UZB,4.0,KLAASSEN L,2 - 23,460,NED,7:40,Goal,1
Centre shot,8.0,2,23,2,UZB,4.0,SEVENICH V,2 - 23,412,NED,6:52,Missed,0
5m shot,2.0,2,23,2,UZB,4.0,DADABAEVA D,2 - 23,384,UZB,6:24,Post,0
Action shot,4.0,2,24,2,UZB,4.0,HAKHVERDIAN B,2 - 24,367,NED,6:07,Goal,1
5m shot,4.0,2,24,3,UZB,4.0,DJUMALIEVA A,3 - 24,341,UZB,5:41,Goal,1
Penalty shot,11.0,2,25,3,UZB,4.0,KLAASSEN L,3 - 25,325,NED,5:25,Goal,1
Centre shot,3.0,2,25,3,UZB,4.0,SARANCHA A,3 - 25,301,UZB,5:01,Missed,0
Action shot,9.0,2,25,3,UZB,4.0,SLAGTER C,3 - 25,290,NED,4:50,Post,0
5m shot,10.0,2,25,3,UZB,4.0,ZINUROVA A,3 - 25,262,UZB,4:22,Saved,0
Action shot,11.0,2,26,3,UZB,4.0,KLAASSEN L,3 - 26,243,NED,4:03,Goal,1
Centre shot,4.0,2,26,3,UZB,4.0,DJUMALIEVA A,3 - 26,233,UZB,3:53,Saved,0
Extra player shot,5.0,2,27,3,UZB,4.0,van der SLOOT S,3 - 27,193,NED,3:13,Goal,1
5m shot,6.0,2,27,3,UZB,4.0,MOROZOVA E,3 - 27,169,UZB,2:49,Missed,0
5m shot,9.0,2,27,3,UZB,4.0,SLAGTER C,3 - 27,161,NED,2:41,Missed,0
5m shot,3.0,2,27,3,UZB,4.0,SARANCHA A,3 - 27,138,UZB,2:18,Blocked,0
Action shot,6.0,2,28,3,UZB,4.0,STOMPHORST N,3 - 28,119,NED,1:59,Goal,1
Centre shot,3.0,2,28,3,UZB,4.0,SARANCHA A,3 - 28,100,UZB,1:40,Post,0
Action shot,8.0,2,29,3,UZB,4.0,SEVENICH V,3 - 29,77,NED,1:17,Goal,1
Action shot,10.0,2,29,3,UZB,4.0,GENEE D,3 - 29,48,NED,0:48,Post,0
Action shot,5.0,2,30,3,UZB,4.0,van der SLOOT S,3 - 30,6,NED,0:06,Goal,1
Centre shot,10.0,3,0,1,RUS,1.0,BELIAEVA O,1 - 0,434,RUS,7:14,Goal,1
Centre shot,10.0,3,0,2,RUS,1.0,BELIAEVA O,2 - 0,380,RUS,6:20,Goal,1
Extra player shot,8.0,3,1,2,RUS,1.0,SEVENICH V,2 - 1,349,NED,5:49,Goal,1
5m shot,3.0,3,1,2,RUS,1.0,PROKOFYEVA E,2 - 1,322,RUS,5:22,Saved,0
Centre shot,8.0,3,1,2,RUS,1.0,SEVENICH V,2 - 1,302,NED,5:02,Blocked,0
5m shot,11.0,3,2,2,RUS,1.0,KLAASSEN L,2 - 2,250,NED,4:10,Goal,1
5m shot,8.0,3,2,2,RUS,1.0,SEVENICH V,2 - 2,192,NED,3:12,Missed,0
Extra player shot,6.0,3,2,2,RUS,1.0,BELOVA O,2 - 2,168,RUS,2:48,Post,0
Extra player shot,8.0,3,2,2,RUS,1.0,SEVENICH V,2 - 2,133,NED,2:13,Saved,0
Extra player shot,5.0,3,2,3,RUS,1.0,ANTONOVA A,3 - 2,93,RUS,1:33,Goal,1
Centre shot,12.0,3,2,3,RUS,1.0,van der MOLEN l,3 - 2,81,NED,1:21,Post,0
Action shot,5.0,3,2,3,RUS,1.0,ANTONOVA A,3 - 2,53,RUS,0:53,Saved,0
Action shot,10.0,3,3,3,RUS,1.0,GENEE D,3 - 3,41,NED,0:41,Goal,1
5m shot,2.0,3,3,3,RUS,2.0,SMIT Y,3 - 3,452,NED,7:32,Post,0
5m shot,11.0,3,3,4,RUS,2.0,IVANOVA E,4 - 3,423,RUS,7:03,Goal,1
Counter attack,11.0,3,3,5,RUS,2.0,IVANOVA E,5 - 3,406,RUS,6:46,Goal,1
5m shot,6.0,3,3,5,RUS,2.0,BELOVA O,5 - 3,369,RUS,6:09,Blocked,0
5m shot,7.0,3,3,5,RUS,2.0,van BELKUM I,5 - 3,348,NED,5:48,Post,0
Penalty shot,3.0,3,3,5,RUS,2.0,PROKOFYEVA E,5 - 3,334,RUS,5:34,Saved,0
Action shot,2.0,3,3,5,RUS,2.0,SMIT Y,5 - 3,293,NED,4:53,Post,0
Centre shot,10.0,3,3,6,RUS,2.0,BELIAEVA O,6 - 3,269,RUS,4:29,Goal,1
Centre shot,9.0,3,3,7,RUS,2.0,TIMOFEEVA A,7 - 3,226,RUS,3:46,Goal,1
Centre shot,10.0,3,3,7,RUS,2.0,GENEE D,7 - 3,176,NED,2:56,Saved,0
Counter attack,11.0,3,3,7,RUS,2.0,IVANOVA E,7 - 3,153,RUS,2:33,Saved,0
Extra player shot,10.0,3,4,7,RUS,2.0,GENEE D,7 - 4,130,NED,2:10,Goal,1
Action shot,7.0,3,4,7,RUS,2.0,van BELKUM I,7 - 4,85,NED,1:25,Missed,0
Centre shot,12.0,3,4,7,RUS,2.0,van der MOLEN l,7 - 4,52,NED,0:52,Saved,0
5m shot,11.0,3,11,11,RUS,4.0,KLAASSEN L,11 - 11,117,NED,1:57,Goal,1
Penalty shot,5.0,3,5,7,RUS,2.0,van der SLOOT S,7 - 5,23,NED,0:23,Goal,1
5m shot,3.0,3,5,7,RUS,2.0,PROKOFYEVA E,7 - 5,9,RUS,0:09,Missed,0
5m shot,11.0,3,6,7,RUS,3.0,KLAASSEN L,7 - 6,465,NED,7:45,Goal,1
5m shot,5.0,3,6,7,RUS,3.0,ANTONOVA A,7 - 6,435,RUS,7:15,Saved,0
Action shot,7.0,3,7,7,RUS,3.0,van BELKUM I,7 - 7,390,NED,6:30,Goal,1
Action shot,6.0,3,7,8,RUS,3.0,BELOVA O,8 - 7,369,RUS,6:09,Goal,1
Centre shot,2.0,3,7,8,RUS,3.0,SMIT Y,8 - 7,345,NED,5:45,Missed,0
Action shot,9.0,3,7,8,RUS,3.0,TIMOFEEVA A,8 - 7,322,RUS,5:22,Saved,0
Centre shot,10.0,3,7,8,RUS,3.0,GENEE D,8 - 7,254,NED,4:14,Saved,0
Action shot,9.0,3,7,8,RUS,3.0,TIMOFEEVA A,8 - 7,203,RUS,3:23,Saved,0
5m shot,3.0,3,7,8,RUS,3.0,PROKOFYEVA E,8 - 7,151,RUS,2:31,Post,0
Action shot,8.0,3,7,8,RUS,3.0,SEVENICH V,8 - 7,26,NED,0:26,Missed,0
5m shot,10.0,3,7,8,RUS,3.0,BELIAEVA O,8 - 7,6,RUS,0:06,Post,0
5m shot,8.0,3,7,8,RUS,3.0,SEVENICH V,8 - 7,1,NED,0:01,Saved,0
Centre shot,7.0,3,7,8,RUS,4.0,TANKEEVA E,8 - 7,455,RUS,7:35,Post,0
Centre shot,7.0,3,7,9,RUS,4.0,TANKEEVA E,9 - 7,453,RUS,7:33,Goal,1
5m shot,11.0,3,8,9,RUS,4.0,KLAASSEN L,9 - 8,433,NED,7:13,Goal,1
Action shot,5.0,3,8,9,RUS,4.0,ANTONOVA A,9 - 8,365,RUS,6:05,Post,0
Action shot,8.0,3,8,9,RUS,4.0,SEVENICH V,9 - 8,338,NED,5:38,Blocked,0
Counter attack,11.0,3,8,9,RUS,4.0,IVANOVA E,9 - 8,328,RUS,5:28,Saved,0
Counter attack,11.0,3,8,10,RUS,4.0,IVANOVA E,10 - 8,326,RUS,5:26,Goal,1
Extra player shot,2.0,3,9,10,RUS,4.0,SMIT Y,10 - 9,295,NED,4:55,Goal,1
Centre shot,12.0,3,10,10,RUS,4.0,van der MOLEN l,10 - 10,254,NED,4:14,Goal,1
Action shot,4.0,3,10,11,RUS,4.0,KARIMOVA E,11 - 10,221,RUS,3:41,Goal,1
Extra player shot,6.0,3,11,12,RUS,4.0,BELOVA O,12 - 11,78,RUS,1:18,Goal,1
Extra player shot,7.0,3,12,12,RUS,4.0,van BELKUM I,12 - 12,49,NED,0:49,Goal,1
5m shot,3.0,3,12,12,RUS,4.0,PROKOFYEVA E,12 - 12,28,RUS,0:28,Missed,0
Action shot,2.0,4,1,0,CHN,1.0,SMIT Y,0 - 1,391,NED,6:31,Goal,1
Centre shot,4.0,4,1,0,CHN,1.0,SUN Y,0 - 1,361,CHN,6:01,Saved,0
Extra player shot,10.0,4,1,0,CHN,1.0,MA H,0 - 1,311,CHN,5:11,Blocked,0
Penalty shot,10.0,4,1,1,CHN,1.0,MA H,1 - 1,306,CHN,5:06,Goal,1
Penalty shot,10.0,4,1,2,CHN,1.0,MA H,2 - 1,270,CHN,4:30,Goal,1
Centre shot,7.0,4,2,2,CHN,1.0,van BELKUM I,2 - 2,253,NED,4:13,Goal,1
5m shot,3.0,4,2,2,CHN,1.0,LIU P,2 - 2,235,CHN,3:55,Post,0
Action shot,6.0,4,2,2,CHN,1.0,STOMPHORST N,2 - 2,206,NED,3:26,Post,0
5m shot,4.0,4,2,2,CHN,1.0,SUN Y,2 - 2,177,CHN,2:57,Blocked,0
Centre shot,7.0,4,2,2,CHN,1.0,van BELKUM I,2 - 2,157,NED,2:37,Saved,0
Action shot,11.0,4,2,2,CHN,1.0,ZHANG C,2 - 2,131,CHN,2:11,Saved,0
5m shot,8.0,4,2,2,CHN,1.0,SEVENICH V,2 - 2,101,NED,1:41,Missed,0
Extra player shot,6.0,4,2,2,CHN,1.0,STOMPHORST N,2 - 2,33,NED,0:33,Saved,0
5m shot,10.0,4,2,2,CHN,1.0,MA H,2 - 2,10,CHN,0:10,Missed,0
5m shot,6.0,4,2,2,CHN,1.0,STOMPHORST N,2 - 2,1,NED,0:01,Saved,0
Action shot,6.0,4,2,2,CHN,2.0,STOMPHORST N,2 - 2,456,NED,7:36,Post,0
Action shot,6.0,4,3,2,CHN,2.0,STOMPHORST N,2 - 3,413,NED,6:53,Goal,1
Centre shot,5.0,4,3,2,CHN,2.0,HE J,2 - 3,390,CHN,6:30,Post,0
Action shot,11.0,4,3,2,CHN,2.0,KLAASSEN L,2 - 3,363,NED,6:03,Saved,0
5m shot,7.0,4,3,3,CHN,2.0,SONG D,3 - 3,337,CHN,5:37,Goal,1
Action shot,2.0,4,4,3,CHN,2.0,SMIT Y,3 - 4,321,NED,5:21,Goal,1
Extra player shot,2.0,4,4,3,CHN,2.0,TENG F,3 - 4,287,CHN,4:47,Blocked,0
Action shot,7.0,4,4,3,CHN,2.0,SONG D,3 - 4,280,CHN,4:40,Blocked,0
5m shot,7.0,4,5,3,CHN,2.0,van BELKUM I,3 - 5,253,NED,4:13,Goal,1
5m shot,2.0,4,5,4,CHN,2.0,TENG F,4 - 5,228,CHN,3:48,Goal,1
Extra player shot,7.0,4,5,4,CHN,2.0,SONG D,4 - 5,176,CHN,2:56,Post,0
Action shot,2.0,4,5,4,CHN,2.0,SMIT Y,4 - 5,153,NED,2:33,Missed,0
Centre shot,10.0,4,5,4,CHN,2.0,GENEE D,4 - 5,120,NED,2:00,Saved,0
5m shot,2.0,4,5,4,CHN,2.0,TENG F,4 - 5,93,CHN,1:33,Saved,0
Action shot,2.0,4,5,4,CHN,2.0,SMIT Y,4 - 5,76,NED,1:16,Saved,0
Centre shot,8.0,4,6,4,CHN,2.0,SEVENICH V,4 - 6,2,NED,0:02,Goal,1
5m shot,7.0,4,6,4,CHN,2.0,SONG D,4 - 6,1,CHN,0:01,Missed,0
5m shot,8.0,4,6,4,CHN,3.0,SEVENICH V,4 - 6,462,NED,7:42,Saved,0
Action shot,11.0,4,6,4,CHN,3.0,ZHANG C,4 - 6,439,CHN,7:19,Post,0
Action shot,4.0,4,6,5,CHN,3.0,SUN Y,5 - 6,414,CHN,6:54,Goal,1
Action shot,7.0,4,6,5,CHN,3.0,van BELKUM I,5 - 6,390,NED,6:30,Missed,0
5m shot,3.0,4,6,6,CHN,3.0,LIU P,6 - 6,370,CHN,6:10,Goal,1
Action shot,6.0,4,6,6,CHN,3.0,STOMPHORST N,6 - 6,341,NED,5:41,Saved,0
5m shot,2.0,4,6,6,CHN,3.0,TENG F,6 - 6,312,CHN,5:12,Saved,0
Action shot,4.0,4,6,6,CHN,3.0,HAKHVERDIAN B,6 - 6,297,NED,4:57,Saved,0
Extra player shot,7.0,4,6,6,CHN,3.0,SONG D,6 - 6,260,CHN,4:20,Blocked,0
Extra player shot,10.0,4,6,6,CHN,3.0,GENEE D,6 - 6,226,NED,3:46,Saved,0
5m shot,2.0,4,7,6,CHN,3.0,SMIT Y,6 - 7,178,NED,2:58,Goal,1
5m shot,7.0,4,7,6,CHN,3.0,SONG D,6 - 7,152,CHN,2:32,Missed,0
Extra player shot,8.0,4,8,6,CHN,3.0,SEVENICH V,6 - 8,132,NED,2:12,Goal,1
Action shot,11.0,4,8,7,CHN,3.0,ZHANG C,7 - 8,113,CHN,1:53,Goal,1
Action shot,2.0,4,8,7,CHN,3.0,SMIT Y,7 - 8,93,NED,1:33,Post,0
Centre shot,6.0,4,8,7,CHN,3.0,SUN Y,7 - 8,70,CHN,1:10,Saved,0
Action shot,2.0,4,8,7,CHN,3.0,SMIT Y,7 - 8,49,NED,0:49,Saved,0
Action shot,10.0,4,8,7,CHN,3.0,MA H,7 - 8,19,CHN,0:19,Saved,0
Counter attack,7.0,4,8,7,CHN,3.0,van BELKUM I,7 - 8,1,NED,0:01,Saved,0
Action shot,7.0,4,8,7,CHN,4.0,van BELKUM I,7 - 8,452,NED,7:32,Post,0
Action shot,7.0,4,8,7,CHN,4.0,SONG D,7 - 8,426,CHN,7:06,Saved,0
5m shot,11.0,4,8,8,CHN,4.0,ZHANG C,8 - 8,410,CHN,6:50,Goal,1
Action shot,11.0,4,9,8,CHN,4.0,KLAASSEN L,8 - 9,398,NED,6:38,Goal,1
5m shot,2.0,4,9,8,CHN,4.0,TENG F,8 - 9,372,CHN,6:12,Post,0
Action shot,11.0,4,9,8,CHN,4.0,KLAASSEN L,8 - 9,346,NED,5:46,Saved,0
5m shot,10.0,4,9,8,CHN,4.0,MA H,8 - 9,319,CHN,5:19,Saved,0
5m shot,11.0,4,10,8,CHN,4.0,KLAASSEN L,8 - 10,254,NED,4:14,Goal,1
Action shot,2.0,4,10,8,CHN,4.0,TENG F,8 - 10,232,CHN,3:52,Saved,0
5m shot,2.0,4,10,8,CHN,4.0,TENG F,8 - 10,185,CHN,3:05,Post,0
Extra player shot,11.0,4,10,8,CHN,4.0,KLAASSEN L,8 - 10,143,NED,2:23,Saved,0
Action shot,11.0,4,11,8,CHN,4.0,KLAASSEN L,8 - 11,134,NED,2:14,Goal,1
Extra player shot,10.0,4,11,9,CHN,4.0,MA H,9 - 11,110,CHN,1:50,Goal,1
Extra player shot,10.0,4,11,10,CHN,4.0,MA H,10 - 11,71,CHN,1:11,Goal,1
Extra player shot,8.0,4,11,10,CHN,4.0,SEVENICH V,10 - 11,35,NED,0:35,Post,0
Action shot,4.0,5,1,0,HUN,1.0,HAKHVERDIAN B,1 - 0,457,NED,7:37,Goal,1
Extra player shot,8.0,5,1,0,HUN,1.0,KESZTHELYI R,1 - 0,433,HUN,7:13,Missed,0
Action shot,2.0,5,1,0,HUN,1.0,SMIT Y,1 - 0,410,NED,6:50,Saved,0
Action shot,7.0,5,1,1,HUN,1.0,MISKOLCZI I,1 - 1,392,HUN,6:32,Goal,1
Centre shot,11.0,5,1,1,HUN,1.0,KLAASSEN L,1 - 1,327,NED,5:27,Saved,0
Extra player shot,7.0,5,1,1,HUN,1.0,van BELKUM I,1 - 1,268,NED,4:28,Post,0
Action shot,5.0,5,1,1,HUN,1.0,SZUCS G,1 - 1,255,HUN,4:15,Saved,0
Extra player shot,7.0,5,1,1,HUN,1.0,van BELKUM I,1 - 1,221,NED,3:41,Saved,0
Counter attack,8.0,5,1,2,HUN,1.0,KESZTHELYI R,1 - 2,209,HUN,3:29,Goal,1
Extra player shot,4.0,5,1,3,HUN,1.0,KISTELEKI D,1 - 3,171,HUN,2:51,Goal,1
5m shot,2.0,5,1,3,HUN,1.0,SMIT Y,1 - 3,153,NED,2:33,Missed,0
Action shot,8.0,5,1,4,HUN,1.0,KESZTHELYI R,1 - 4,106,HUN,1:46,Goal,1
5m shot,5.0,5,1,5,HUN,1.0,SZUCS G,1 - 5,65,HUN,1:05,Goal,1
Extra player shot,4.0,5,1,5,HUN,1.0,KISTELEKI D,1 - 5,8,HUN,0:08,Blocked,0
5m shot,7.0,5,1,5,HUN,1.0,van BELKUM I,1 - 5,2,NED,0:02,Missed,0
5m shot,10.0,5,1,5,HUN,2.0,GENEE D,1 - 5,456,NED,7:36,Post,0
Extra player shot,2.0,5,1,5,HUN,2.0,SMIT Y,1 - 5,386,NED,6:26,Blocked,0
