Action,Cap,Game,NED,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Time-Out,,1,13,1,RSA,3.0,,1 - 13,151,NED,2:31
Turnover foul,5.0,1,13,1,RSA,3.0,GENEE A,1 - 13,125,NED,2:05
Turnover foul,12.0,1,13,1,RSA,3.0,WHITE K,1 - 13,98,RSA,1:38
5m shot - Goal,11.0,1,14,1,RSA,3.0,KLAASSEN L,1 - 14,76,NED,1:16
20 sec. exclusion in centre,10.0,1,14,1,RSA,3.0,KILLEEN L,1 - 14,32,RSA,0:32
Turnover foul,12.0,1,14,1,RSA,3.0,WHITE K,1 - 14,0,RSA,0:00
Steal,2.0,1,14,1,RSA,3.0,SMIT M,1 - 14,0,NED,0:00
Starting goalkeeper,13.0,1,14,1,RSA,4.0,GASCOIGNE A,1 - 14,480,RSA,8:00
Starting goalkeeper,1.0,1,14,1,RSA,4.0,AARTS L,1 - 14,480,NED,8:00
Sprint won possession,6.0,1,14,1,RSA,4.0,HALLENDORFF A,1 - 14,480,RSA,8:00
Action shot - Post,9.0,1,14,1,RSA,4.0,MEGENS M,1 - 14,446,NED,7:26
Turnover foul,11.0,1,14,1,RSA,4.0,O'HANLON D,1 - 14,429,RSA,7:09
Steal,11.0,1,14,1,RSA,4.0,KLAASSEN L,1 - 14,429,NED,7:09
20 sec. exclusion in centre,5.0,1,14,1,RSA,4.0,SCHOOLING M,1 - 14,407,RSA,6:47
Extra player shot - Goal,11.0,1,15,1,RSA,4.0,KLAASSEN L,1 - 15,396,NED,6:36
Turnover foul,11.0,1,15,1,RSA,4.0,O'HANLON D,1 - 15,378,RSA,6:18
Steal,9.0,1,15,1,RSA,4.0,MEGENS M,1 - 15,378,NED,6:18
Centre shot - Goal,2.0,1,16,1,RSA,4.0,SMIT M,1 - 16,366,NED,6:06
Turnover foul,11.0,1,16,1,RSA,4.0,O'HANLON D,1 - 16,350,RSA,5:50
Steal,9.0,1,16,1,RSA,4.0,MEGENS M,1 - 16,350,NED,5:50
20 sec. exclusion in field,11.0,1,16,1,RSA,4.0,O'HANLON D,1 - 16,348,RSA,5:48
Extra player shot - Goal,12.0,1,17,1,RSA,4.0,VAN DER MOLEN L,1 - 17,327,NED,5:27
20 sec. exclusion in field,5.0,1,17,1,RSA,4.0,SCHOOLING M,1 - 17,301,RSA,5:01
Centre shot - Post,12.0,1,17,1,RSA,4.0,VAN DER MOLEN L,1 - 17,293,NED,4:53
Time-Out,,1,17,1,RSA,4.0,,1 - 17,283,RSA,4:43
Turnover foul,5.0,1,17,1,RSA,4.0,SCHOOLING M,1 - 17,264,RSA,4:24
Action shot - Goal,8.0,1,18,1,RSA,4.0,SEVENICH V,1 - 18,249,NED,4:09
20 sec. exclusion in field,4.0,1,18,1,RSA,4.0,VAN DER SLOOT C,1 - 18,228,NED,3:48
20 sec. exclusion in centre,6.0,1,18,1,RSA,4.0,STOMPHORST N,1 - 18,209,NED,3:29
Extra player shot - Blocked,6.0,1,18,1,RSA,4.0,HALLENDORFF A,1 - 18,186,RSA,3:06
Turnover foul,3.0,1,18,1,RSA,4.0,GENEE D,1 - 18,166,NED,2:46
Action shot - Missed,7.0,1,18,1,RSA,4.0,KAY K,1 - 18,152,RSA,2:32
Action shot - Goal,2.0,1,19,1,RSA,4.0,SMIT M,1 - 19,142,NED,2:22
Turnover foul,7.0,1,19,1,RSA,4.0,KAY K,1 - 19,123,RSA,2:03
20 sec. exclusion in centre,7.0,1,19,1,RSA,4.0,KAY K,1 - 19,108,RSA,1:48
Turnover foul,12.0,1,19,1,RSA,4.0,WHITE K,1 - 19,83,RSA,1:23
5m shot - Goal,11.0,1,20,1,RSA,4.0,KLAASSEN L,1 - 20,73,NED,1:13
Turnover foul,4.0,1,20,1,RSA,4.0,VERSFELD R,1 - 20,47,RSA,0:47
5m shot - Goal,7.0,1,21,1,RSA,4.0,NIJHUIS M,1 - 21,33,NED,0:33
Turnover foul,6.0,1,21,1,RSA,4.0,HALLENDORFF A,1 - 21,9,RSA,0:09
5m shot - Goal,10.0,1,22,1,RSA,4.0,VAN TOORN I,1 - 22,2,NED,0:02
Starting goalkeeper,13.0,2,0,0,GRE,1.0,WILLEMSZ D,0 - 0,480,NED,8:00
Starting goalkeeper,1.0,2,0,0,GRE,1.0,KOUVDOU E,0 - 0,480,GRE,8:00
Sprint won possession,4.0,2,0,0,GRE,1.0,VAN DER SLOOT C,0 - 0,480,NED,8:00
Turnover foul,2.0,2,0,0,GRE,1.0,TSOUKALA C,0 - 0,452,GRE,7:32
Centre shot - Saved,7.0,2,0,0,GRE,1.0,ASIMAKI A,0 - 0,431,GRE,7:11
5m shot - Post,2.0,2,0,0,GRE,1.0,SMIT M,0 - 0,403,NED,6:43
20 sec. exclusion in centre,2.0,2,0,0,GRE,1.0,SMIT M,0 - 0,392,NED,6:32
Action shot - Missed,11.0,2,0,0,GRE,1.0,PLEVRITOU E,0 - 0,367,GRE,6:07
Action shot - Post,9.0,2,0,0,GRE,1.0,MEGENS M,0 - 0,355,NED,5:55
Action shot - Post,8.0,2,0,0,GRE,1.0,ROUMPESI A,0 - 0,334,GRE,5:34
Centre shot - Goal,10.0,2,0,1,GRE,1.0,MANOLIOUDAKI T,0 - 1,333,GRE,5:33
5m shot - Missed,11.0,2,0,1,GRE,1.0,KLAASSEN L,0 - 1,308,NED,5:08
Turnover foul,7.0,2,0,1,GRE,1.0,ASIMAKI A,0 - 1,308,GRE,5:08
Action shot - Blocked,7.0,2,0,1,GRE,1.0,NIJHUIS M,0 - 1,297,NED,4:57
Turnover foul,9.0,2,0,1,GRE,1.0,MEGENS M,0 - 1,284,NED,4:44
Steal,7.0,2,0,1,GRE,1.0,ASIMAKI A,0 - 1,284,GRE,4:44
Turnover foul,7.0,2,0,1,GRE,1.0,ASIMAKI A,0 - 1,266,GRE,4:26
Steal,3.0,2,0,1,GRE,1.0,GENEE D,0 - 1,266,NED,4:26
Counter attack - Saved,9.0,2,0,1,GRE,1.0,MEGENS M,0 - 1,254,NED,4:14
5m shot - Goal,11.0,2,1,1,GRE,1.0,KLAASSEN L,1 - 1,236,NED,3:56
20 sec. exclusion in centre,3.0,2,1,1,GRE,1.0,GENEE D,1 - 1,216,NED,3:36
Action shot - Goal,8.0,2,1,2,GRE,1.0,ROUMPESI A,1 - 2,196,GRE,3:16
5m shot - Saved,9.0,2,1,2,GRE,1.0,MEGENS M,1 - 2,149,NED,2:29
Action shot - Saved,9.0,2,1,2,GRE,1.0,MEGENS M,1 - 2,143,NED,2:23
5m shot - Post,11.0,2,1,2,GRE,1.0,PLEVRITOU E,1 - 2,120,GRE,2:00
5m shot - Blocked,2.0,2,1,2,GRE,1.0,SMIT M,1 - 2,89,NED,1:29
20 sec. exclusion in field,4.0,2,1,2,GRE,1.0,VAN DER SLOOT C,1 - 2,66,NED,1:06
Time-Out,,2,1,2,GRE,1.0,,1 - 2,66,GRE,1:06
Extra player shot - Goal,3.0,2,1,3,GRE,1.0,CHARALAMPIDI S,1 - 3,46,GRE,0:46
20 sec. exclusion in centre,5.0,2,1,3,GRE,1.0,PLEVRITOU M,1 - 3,18,GRE,0:18
Time-Out,,2,1,3,GRE,1.0,,1 - 3,18,NED,0:18
Extra player shot - Goal,4.0,2,2,3,GRE,1.0,VAN DER SLOOT C,2 - 3,1,NED,0:01
Starting goalkeeper,13.0,2,2,3,GRE,2.0,WILLEMSZ D,2 - 3,480,NED,8:00
Starting goalkeeper,1.0,2,2,3,GRE,2.0,KOUVDOU E,2 - 3,480,GRE,8:00
Sprint won possession,11.0,2,2,3,GRE,2.0,PLEVRITOU E,2 - 3,480,GRE,8:00
Turnover foul,7.0,2,2,3,GRE,2.0,ASIMAKI A,2 - 3,465,GRE,7:45
5m shot - Post,4.0,2,2,3,GRE,2.0,VAN DER SLOOT C,2 - 3,436,NED,7:16
Turnover foul,7.0,2,2,3,GRE,2.0,ASIMAKI A,2 - 3,410,GRE,6:50
Steal,8.0,2,2,3,GRE,2.0,SEVENICH V,2 - 3,410,NED,6:50
5m shot - Post,9.0,2,2,3,GRE,2.0,MEGENS M,2 - 3,381,NED,6:21
5m shot - Blocked,2.0,2,2,3,GRE,2.0,TSOUKALA C,2 - 3,358,GRE,5:58
Action shot - Saved,8.0,2,2,3,GRE,2.0,SEVENICH V,2 - 3,336,NED,5:36
Action shot - Saved,8.0,2,2,3,GRE,2.0,ROUMPESI A,2 - 3,314,GRE,5:14
5m shot - Saved,9.0,2,2,3,GRE,2.0,MEGENS M,2 - 3,288,NED,4:48
5m shot - Post,11.0,2,2,3,GRE,2.0,KLAASSEN L,2 - 3,264,NED,4:24
Action shot - Post,10.0,2,2,3,GRE,2.0,MANOLIOUDAKI T,2 - 3,244,GRE,4:04
20 sec. exclusion in centre,2.0,2,2,3,GRE,2.0,TSOUKALA C,2 - 3,226,GRE,3:46
Time-Out,,2,2,3,GRE,2.0,,2 - 3,226,NED,3:46
Action shot - Post,8.0,2,2,3,GRE,2.0,ROUMPESI A,2 - 3,174,GRE,2:54
20 sec. exclusion in field,8.0,2,2,3,GRE,2.0,ROUMPESI A,2 - 3,172,GRE,2:52
Extra player shot - Saved,11.0,2,2,3,GRE,2.0,KLAASSEN L,2 - 3,147,NED,2:27
Action shot - Post,10.0,2,2,3,GRE,2.0,MANOLIOUDAKI T,2 - 3,120,GRE,2:00
Action shot - Goal,2.0,2,3,3,GRE,2.0,SMIT M,3 - 3,104,NED,1:44
Double exclusion,12.0,2,3,3,GRE,2.0,XENAKI E,3 - 3,85,GRE,1:25
Double exclusion,3.0,2,3,3,GRE,2.0,GENEE D,3 - 3,85,NED,1:25
Extra player shot - Goal,2.0,2,3,4,GRE,2.0,TSOUKALA C,3 - 4,81,GRE,1:21
Action shot - Saved,5.0,2,3,4,GRE,2.0,GENEE A,3 - 4,51,NED,0:51
5m shot - Goal,4.0,2,3,5,GRE,2.0,KOTSIA C,3 - 5,25,GRE,0:25
5m shot - Goal,7.0,2,4,5,GRE,2.0,NIJHUIS M,4 - 5,2,NED,0:02
5m shot - Missed,11.0,2,4,5,GRE,2.0,PLEVRITOU E,4 - 5,1,GRE,0:01
Starting goalkeeper,1.0,2,4,5,GRE,3.0,AARTS L,4 - 5,480,NED,8:00
Starting goalkeeper,1.0,2,4,5,GRE,3.0,KOUVDOU E,4 - 5,480,GRE,8:00
Sprint won possession,6.0,2,4,5,GRE,3.0,STOMPHORST N,4 - 5,480,NED,8:00
Action shot - Post,11.0,2,4,5,GRE,3.0,PLEVRITOU E,4 - 5,432,GRE,7:12
Action shot - Goal,2.0,2,5,5,GRE,3.0,SMIT M,5 - 5,414,NED,6:54
20 sec. exclusion in centre,11.0,2,5,5,GRE,3.0,KLAASSEN L,5 - 5,399,NED,6:39
Extra player shot - Goal,5.0,2,5,6,GRE,3.0,PLEVRITOU M,5 - 6,378,GRE,6:18
5m shot - Goal,6.0,2,6,6,GRE,3.0,STOMPHORST N,6 - 6,352,NED,5:52
Action shot - Goal,5.0,2,6,7,GRE,3.0,PLEVRITOU M,6 - 7,329,GRE,5:29
Centre shot - Saved,4.0,2,6,7,GRE,3.0,VAN DER SLOOT C,6 - 7,303,NED,5:03
5m shot - Blocked,8.0,2,6,7,GRE,3.0,ROUMPESI A,6 - 7,270,GRE,4:30
Action shot - Saved,9.0,2,6,7,GRE,3.0,MEGENS M,6 - 7,253,NED,4:13
5m shot - Missed,2.0,2,6,7,GRE,3.0,TSOUKALA C,6 - 7,225,GRE,3:45
20 sec. exclusion in centre,5.0,2,6,7,GRE,3.0,PLEVRITOU M,6 - 7,212,GRE,3:32
Time-Out,,2,6,7,GRE,3.0,,6 - 7,212,NED,3:32
Action shot - Goal,2.0,2,7,7,GRE,3.0,SMIT M,7 - 7,191,NED,3:11
5m shot - Missed,10.0,2,7,7,GRE,3.0,MANOLIOUDAKI T,7 - 7,161,GRE,2:41
20 sec. exclusion in field,10.0,2,7,7,GRE,3.0,MANOLIOUDAKI T,7 - 7,161,GRE,2:41
Action shot - Goal,4.0,2,8,7,GRE,3.0,VAN DER SLOOT C,8 - 7,136,NED,2:16
20 sec. exclusion in centre,11.0,2,8,7,GRE,3.0,KLAASSEN L,8 - 7,112,NED,1:52
Time-Out,,2,8,7,GRE,3.0,,8 - 7,110,GRE,1:50
5m shot - Missed,8.0,2,8,7,GRE,3.0,ROUMPESI A,8 - 7,87,GRE,1:27
Penalty foul,9.0,2,8,7,GRE,3.0,CHARALAMPIDI I,8 - 7,67,GRE,1:07
Penalty shot - Goal,4.0,2,9,7,GRE,3.0,VAN DER SLOOT C,9 - 7,67,NED,1:07
20 sec. exclusion in field,10.0,2,9,7,GRE,3.0,VAN TOORN I,9 - 7,44,NED,0:44
Turnover foul,7.0,2,9,7,GRE,3.0,ASIMAKI A,9 - 7,18,GRE,0:18
5m shot - Missed,4.0,2,9,7,GRE,3.0,VAN DER SLOOT C,9 - 7,0,NED,0:00
Starting goalkeeper,1.0,2,9,7,GRE,4.0,AARTS L,9 - 7,480,NED,8:00
Starting goalkeeper,1.0,2,9,7,GRE,4.0,KOUVDOU E,9 - 7,480,GRE,8:00
Sprint won possession,6.0,2,9,7,GRE,4.0,STOMPHORST N,9 - 7,480,NED,8:00
5m shot - Saved,7.0,2,9,7,GRE,4.0,NIJHUIS M,9 - 7,451,NED,7:31
Action shot - Goal,8.0,2,9,8,GRE,4.0,ROUMPESI A,9 - 8,430,GRE,7:10
Action shot - Goal,4.0,2,10,8,GRE,4.0,VAN DER SLOOT C,10 - 8,410,NED,6:50
Centre shot - Saved,7.0,2,10,8,GRE,4.0,ASIMAKI A,10 - 8,383,GRE,6:23
5m shot - Saved,2.0,2,10,8,GRE,4.0,SMIT M,10 - 8,366,NED,6:06
20 sec. exclusion in field,3.0,2,10,8,GRE,4.0,GENEE D,10 - 8,353,NED,5:53
Exclusion with substitution,3.0,2,10,8,GRE,4.0,GENEE D,10 - 8,353,NED,5:53
Extra player shot - Saved,3.0,2,10,8,GRE,4.0,CHARALAMPIDI S,10 - 8,332,GRE,5:32
Action shot - Saved,7.0,2,10,8,GRE,4.0,ASIMAKI A,10 - 8,282,GRE,4:42
Action shot - Saved,4.0,2,10,8,GRE,4.0,VAN DER SLOOT C,10 - 8,259,NED,4:19
Counter attack - Goal,11.0,2,10,9,GRE,4.0,PLEVRITOU E,10 - 9,244,GRE,4:04
5m shot - Missed,2.0,2,10,9,GRE,4.0,SMIT M,10 - 9,217,NED,3:37
Turnover foul,12.0,2,10,9,GRE,4.0,XENAKI E,10 - 9,200,GRE,3:20
5m shot - Saved,11.0,2,10,9,GRE,4.0,KLAASSEN L,10 - 9,174,NED,2:54
Penalty foul,8.0,2,10,9,GRE,4.0,SEVENICH V,10 - 9,156,NED,2:36
Penalty shot - Saved,2.0,2,10,9,GRE,4.0,TSOUKALA C,10 - 9,156,GRE,2:36
Turnover foul,12.0,2,10,9,GRE,4.0,XENAKI E,10 - 9,131,GRE,2:11
Steal,4.0,2,10,9,GRE,4.0,VAN DER SLOOT C,10 - 9,131,NED,2:11
Turnover foul,4.0,2,10,9,GRE,4.0,VAN DER SLOOT C,10 - 9,111,NED,1:51
Steal,10.0,2,10,9,GRE,4.0,MANOLIOUDAKI T,10 - 9,111,GRE,1:51
Time-Out,,2,10,9,GRE,4.0,,10 - 9,60,NED,1:00
20 sec. exclusion in field,5.0,2,10,9,GRE,4.0,PLEVRITOU M,10 - 9,60,GRE,1:00
Exclusion with substitution,5.0,2,10,9,GRE,4.0,PLEVRITOU M,10 - 9,60,GRE,1:00
Action shot - Saved,6.0,2,10,9,GRE,4.0,STOMPHORST N,10 - 9,33,NED,0:33
Time-Out,,2,10,9,GRE,4.0,,10 - 9,33,GRE,0:33
Turnover foul,8.0,2,10,9,GRE,4.0,ROUMPESI A,10 - 9,18,GRE,0:18
Steal,9.0,2,10,9,GRE,4.0,MEGENS M,10 - 9,18,NED,0:18
5m shot - Missed,6.0,2,10,9,GRE,4.0,STOMPHORST N,10 - 9,0,NED,0:00
Starting goalkeeper,1.0,3,0,0,AUS,1.0,YANITSAS L,0 - 0,480,AUS,8:00
Starting goalkeeper,13.0,3,0,0,AUS,1.0,WILLEMSZ D,0 - 0,480,NED,8:00
Sprint won possession,4.0,3,0,0,AUS,1.0,VAN DER SLOOT C,0 - 0,480,NED,8:00
5m shot - Saved,11.0,3,0,0,AUS,1.0,KLAASSEN L,0 - 0,451,NED,7:31
Action shot - Saved,8.0,3,0,0,AUS,1.0,MCGHIE G,0 - 0,422,AUS,7:02
Turnover foul,8.0,3,0,0,AUS,1.0,SEVENICH V,0 - 0,398,NED,6:38
Counter attack - Goal,6.0,3,0,1,AUS,1.0,KNOX B,1 - 0,386,AUS,6:26
Turnover foul,11.0,3,0,1,AUS,1.0,KLAASSEN L,1 - 0,357,NED,5:57
Turnover foul,9.0,3,0,1,AUS,1.0,ARANCINI Z,1 - 0,329,AUS,5:29
Steal,7.0,3,0,1,AUS,1.0,NIJHUIS M,1 - 0,329,NED,5:29
20 sec. exclusion in centre,6.0,3,0,1,AUS,1.0,KNOX B,1 - 0,309,AUS,5:09
Extra player shot - Blocked,11.0,3,0,1,AUS,1.0,KLAASSEN L,1 - 0,288,NED,4:48
Turnover foul,9.0,3,0,1,AUS,1.0,ARANCINI Z,1 - 0,267,AUS,4:27
20 sec. exclusion in field,5.0,3,0,1,AUS,1.0,GOFERS K,1 - 0,244,AUS,4:04
Turnover foul,4.0,3,0,1,AUS,1.0,VAN DER SLOOT C,1 - 0,213,NED,3:33
Turnover foul,3.0,3,0,1,AUS,1.0,BUCKLING H,1 - 0,197,AUS,3:17
Action shot - Blocked,7.0,3,0,1,AUS,1.0,NIJHUIS M,1 - 0,170,NED,2:50
Time-Out,,3,0,1,AUS,1.0,,1 - 0,164,AUS,2:44
Turnover foul,8.0,3,0,1,AUS,1.0,MCGHIE G,1 - 0,140,AUS,2:20
Steal,5.0,3,0,1,AUS,1.0,GENEE A,1 - 0,140,NED,2:20
Turnover foul,2.0,3,0,1,AUS,1.0,SMIT M,1 - 0,108,NED,1:48
Turnover foul,7.0,3,0,1,AUS,1.0,WEBSTER R,1 - 0,90,AUS,1:30
Steal,3.0,3,0,1,AUS,1.0,GENEE D,1 - 0,90,NED,1:30
Turnover foul,2.0,3,0,1,AUS,1.0,SMIT M,1 - 0,69,NED,1:09
Steal,7.0,3,0,1,AUS,1.0,WEBSTER R,1 - 0,69,AUS,1:09
Turnover foul,2.0,3,0,1,AUS,1.0,BEADSWORTH G,1 - 0,48,AUS,0:48
Time-Out,,3,0,1,AUS,1.0,,1 - 0,48,NED,0:48
Action shot - Post,8.0,3,0,1,AUS,1.0,SEVENICH V,1 - 0,35,NED,0:35
Centre shot - Goal,12.0,3,0,2,AUS,1.0,ZAGAME N,2 - 0,12,AUS,0:12
Starting goalkeeper,1.0,3,0,2,AUS,2.0,YANITSAS L,2 - 0,480,AUS,8:00
Starting goalkeeper,13.0,3,0,2,AUS,2.0,WILLEMSZ D,2 - 0,480,NED,8:00
Sprint won possession,6.0,3,0,2,AUS,2.0,STOMPHORST N,2 - 0,480,NED,8:00
5m shot - Goal,7.0,3,0,3,AUS,2.0,WEBSTER R,3 - 0,425,AUS,7:05
Turnover foul,5.0,3,0,3,AUS,2.0,GENEE A,3 - 0,414,NED,6:54
Steal,10.0,3,0,3,AUS,2.0,SOUTHERN A,3 - 0,414,AUS,6:54
Counter attack - Saved,10.0,3,0,3,AUS,2.0,SOUTHERN A,3 - 0,401,AUS,6:41
20 sec. exclusion in centre,3.0,3,0,3,AUS,2.0,BUCKLING H,3 - 0,387,AUS,6:27
