Action,Cap,Game,Opponent,Opponent name,Period,Player,SRB,Score,Seconds,Team,Time
Steal,5.0,1,1,RSA,2.0,BROWN C,6,6 - 1,458,RSA,7:38
Action shot - Missed,11.0,1,1,RSA,2.0,PRLAINOVIC A,6,6 - 1,417,SRB,6:57
20 sec. exclusion in centre,11.0,1,1,RSA,2.0,MOLYNEUX N,6,6 - 1,373,RSA,6:13
Extra player shot - Goal,9.0,1,1,RSA,2.0,JAKSIC N,7,7 - 1,361,SRB,6:01
Turnover foul,3.0,1,1,RSA,2.0,CARD D,7,7 - 1,341,RSA,5:41
Steal,11.0,1,1,RSA,2.0,PRLAINOVIC A,7,7 - 1,341,SRB,5:41
Action shot - Goal,10.0,1,1,RSA,2.0,FILIPOVIC F,8,8 - 1,330,SRB,5:30
Turnover foul,10.0,1,1,RSA,2.0,le ROUX P,8,8 - 1,312,RSA,5:12
Steal,2.0,1,1,RSA,2.0,MANDIC D,8,8 - 1,312,SRB,5:12
Action shot - Goal,8.0,1,1,RSA,2.0,ALEKSIC M,9,9 - 1,300,SRB,5:00
Turnover foul,2.0,1,1,RSA,2.0,le ROUX E,9,9 - 1,283,RSA,4:43
Steal,10.0,1,1,RSA,2.0,FILIPOVIC F,9,9 - 1,283,SRB,4:43
Action shot - Goal,8.0,1,1,RSA,2.0,ALEKSIC M,10,10 - 1,274,SRB,4:34
Time-Out,,1,1,RSA,2.0,,10,10 - 1,274,RSA,4:34
Action shot - Goal,2.0,1,2,RSA,2.0,le ROUX E,10,10 - 2,248,RSA,4:08
20 sec. exclusion in centre,6.0,1,2,RSA,2.0,de CARVALHO J,10,10 - 2,238,RSA,3:58
Action shot - Post,11.0,1,2,RSA,2.0,PRLAINOVIC A,10,10 - 2,224,SRB,3:44
5m shot - Post,6.0,1,2,RSA,2.0,de CARVALHO J,10,10 - 2,196,RSA,3:16
20 sec. exclusion in centre,12.0,1,2,RSA,2.0,OLVER R,10,10 - 2,185,RSA,3:05
Extra player shot - Post,11.0,1,2,RSA,2.0,PRLAINOVIC A,10,10 - 2,174,SRB,2:54
Action shot - Goal,11.0,1,2,RSA,2.0,PRLAINOVIC A,11,11 - 2,164,SRB,2:44
Turnover foul,5.0,1,2,RSA,2.0,BROWN C,11,11 - 2,142,RSA,2:22
Steal,3.0,1,2,RSA,2.0,RASOVIC V,11,11 - 2,142,SRB,2:22
20 sec. exclusion in centre,9.0,1,2,RSA,4.0,JAKSIC N,11,11 - 2,325,SRB,5:25
5m shot - Post,11.0,1,2,RSA,4.0,MOLYNEUX N,11,11 - 2,304,RSA,5:04
5m shot - Saved,4.0,1,2,RSA,4.0,RANDELOVIC S,11,11 - 2,279,SRB,4:39
Action shot - Goal,9.0,1,3,RSA,4.0,JAKSIC N,21,21 - 3,229,SRB,3:49
20 sec. exclusion in centre,9.0,1,3,RSA,4.0,JAKSIC N,21,21 - 3,206,SRB,3:26
Exclusion with substitution,9.0,1,3,RSA,4.0,JAKSIC N,21,21 - 3,206,SRB,3:26
Action shot - Goal,3.0,1,4,RSA,4.0,CARD D,21,21 - 4,197,RSA,3:17
Action shot - Saved,5.0,1,4,RSA,4.0,CUK M,21,21 - 4,170,SRB,2:50
20 sec. exclusion in centre,4.0,1,4,RSA,4.0,RANDELOVIC S,21,21 - 4,151,SRB,2:31
Time-Out,,1,4,RSA,4.0,,21,21 - 4,151,RSA,2:31
Action shot - Goal,5.0,1,5,RSA,4.0,BROWN C,21,21 - 5,130,RSA,2:10
Turnover foul,2.0,1,5,RSA,2.0,MANDIC D,21,21 - 5,134,SRB,2:14
Steal,7.0,1,5,RSA,2.0,RABIE L,21,21 - 5,134,RSA,2:14
Turnover foul,4.0,1,5,RSA,2.0,BADENHORST N,21,21 - 5,104,RSA,1:44
Steal,6.0,1,5,RSA,2.0,PIJETLOVIC D,21,21 - 5,104,SRB,1:44
Turnover foul,6.0,1,5,RSA,2.0,PIJETLOVIC D,21,21 - 5,91,SRB,1:31
5m shot - Saved,2.0,1,5,RSA,2.0,le ROUX E,21,21 - 5,64,RSA,1:04
Action shot - Goal,2.0,1,2,RSA,2.0,MANDIC D,12,12 - 2,40,SRB,0:40
Action shot - Saved,10.0,1,2,RSA,2.0,le ROUX P,12,12 - 2,13,RSA,0:13
5m shot - Goal,3.0,1,2,RSA,2.0,RASOVIC V,13,13 - 2,1,SRB,0:01
Starting goalkeeper,1.0,1,2,RSA,3.0,PIJETLOVIC G,13,13 - 2,480,SRB,8:00
Starting goalkeeper,13.0,1,2,RSA,3.0,MTHEMBU T,13,13 - 2,480,RSA,8:00
Sprint won possession,10.0,1,2,RSA,3.0,FILIPOVIC F,13,13 - 2,480,SRB,8:00
Turnover foul,3.0,1,2,RSA,3.0,RASOVIC V,13,13 - 2,460,SRB,7:40
20 sec. exclusion in centre,3.0,1,2,RSA,3.0,RASOVIC V,13,13 - 2,441,SRB,7:21
5m shot - Post,7.0,1,2,RSA,3.0,RABIE L,13,13 - 2,417,RSA,6:57
20 sec. exclusion in centre,9.0,1,2,RSA,3.0,JAKSIC N,13,13 - 2,400,SRB,6:40
Turnover foul,10.0,1,2,RSA,3.0,le ROUX P,13,13 - 2,387,RSA,6:27
Steal,3.0,1,2,RSA,3.0,RASOVIC V,13,13 - 2,387,SRB,6:27
Turnover foul,12.0,1,2,RSA,3.0,MITORVIC S,13,13 - 2,362,SRB,6:02
Steal,5.0,1,2,RSA,3.0,BROWN C,13,13 - 2,362,RSA,6:02
Turnover foul,3.0,1,2,RSA,3.0,CARD D,13,13 - 2,356,RSA,5:56
Action shot - Goal,11.0,1,2,RSA,3.0,PRLAINOVIC A,14,14 - 2,350,SRB,5:50
5m shot - Saved,10.0,1,2,RSA,3.0,le ROUX P,14,14 - 2,320,RSA,5:20
Turnover foul,2.0,1,2,RSA,3.0,MANDIC D,14,14 - 2,300,SRB,5:00
Steal,10.0,1,2,RSA,3.0,le ROUX P,14,14 - 2,300,RSA,5:00
Turnover foul,10.0,1,2,RSA,3.0,le ROUX P,14,14 - 2,282,RSA,4:42
Steal,10.0,1,2,RSA,3.0,FILIPOVIC F,14,14 - 2,282,SRB,4:42
Centre shot - Goal,7.0,1,2,RSA,3.0,UBOVIC N,15,15 - 2,267,SRB,4:27
Time-Out,,1,2,RSA,3.0,,15,15 - 2,267,RSA,4:27
20 sec. exclusion in field,12.0,1,2,RSA,3.0,MITORVIC S,15,15 - 2,248,SRB,4:08
Extra player shot - Saved,4.0,1,2,RSA,3.0,BADENHORST N,15,15 - 2,237,RSA,3:57
5m shot - Saved,5.0,1,2,RSA,3.0,BROWN C,15,15 - 2,225,RSA,3:45
Centre shot - Goal,2.0,1,3,RSA,3.0,le ROUX E,15,15 - 3,223,RSA,3:43
20 sec. exclusion in field,4.0,1,3,RSA,3.0,BADENHORST N,15,15 - 3,213,RSA,3:33
Extra player shot - Goal,12.0,1,3,RSA,3.0,MITORVIC S,16,16 - 3,195,SRB,3:15
Turnover foul,3.0,1,3,RSA,3.0,CARD D,16,16 - 3,182,RSA,3:02
Centre shot - Goal,8.0,1,3,RSA,3.0,ALEKSIC M,17,17 - 3,171,SRB,2:51
Turnover foul,12.0,1,3,RSA,3.0,OLVER R,17,17 - 3,150,RSA,2:30
Steal,6.0,1,3,RSA,3.0,PIJETLOVIC D,17,17 - 3,150,SRB,2:30
Centre shot - Goal,6.0,1,3,RSA,3.0,PIJETLOVIC D,18,18 - 3,138,SRB,2:18
Turnover foul,3.0,1,3,RSA,3.0,CARD D,18,18 - 3,117,RSA,1:57
Steal,5.0,1,3,RSA,3.0,CUK M,18,18 - 3,117,SRB,1:57
5m shot - Missed,8.0,1,3,RSA,3.0,ALEKSIC M,18,18 - 3,100,SRB,1:40
Turnover foul,3.0,1,3,RSA,3.0,CARD D,18,18 - 3,72,RSA,1:12
Steal,5.0,1,3,RSA,3.0,CUK M,18,18 - 3,72,SRB,1:12
Turnover foul,2.0,1,3,RSA,3.0,MANDIC D,18,18 - 3,51,SRB,0:51
Action shot - Saved,7.0,1,3,RSA,3.0,RABIE L,18,18 - 3,36,RSA,0:36
Action shot - Saved,4.0,1,3,RSA,3.0,RANDELOVIC S,18,18 - 3,17,SRB,0:17
Turnover foul,6.0,1,3,RSA,3.0,PIJETLOVIC D,18,18 - 3,5,SRB,0:05
Steal,13.0,1,3,RSA,3.0,MTHEMBU T,18,18 - 3,5,RSA,0:05
Starting goalkeeper,1.0,1,3,RSA,4.0,PIJETLOVIC G,18,18 - 3,480,SRB,8:00
Starting goalkeeper,1.0,1,3,RSA,4.0,LEWIS J,18,18 - 3,480,RSA,8:00
Sprint won possession,8.0,1,3,RSA,4.0,RODDA N,18,18 - 3,480,RSA,8:00
Centre shot - Saved,6.0,1,3,RSA,4.0,PIJETLOVIC D,18,18 - 3,438,SRB,7:18
Turnover foul,4.0,1,3,RSA,4.0,BADENHORST N,18,18 - 3,413,RSA,6:53
Steal,11.0,1,3,RSA,4.0,PRLAINOVIC A,18,18 - 3,413,SRB,6:53
Action shot - Post,4.0,1,3,RSA,4.0,RANDELOVIC S,18,18 - 3,391,SRB,6:31
Action shot - Goal,11.0,1,3,RSA,4.0,PRLAINOVIC A,19,19 - 3,389,SRB,6:29
Turnover foul,4.0,1,3,RSA,4.0,BADENHORST N,19,19 - 3,362,RSA,6:02
Steal,4.0,1,3,RSA,4.0,RANDELOVIC S,19,19 - 3,362,SRB,6:02
Action shot - Goal,10.0,1,3,RSA,4.0,FILIPOVIC F,20,20 - 3,345,SRB,5:45
20 sec. exclusion in centre,5.0,1,3,RSA,4.0,BROWN C,20,20 - 3,116,RSA,1:56
Extra player shot - Saved,5.0,1,3,RSA,4.0,CUK M,20,20 - 3,99,SRB,1:39
Action shot - Post,2.0,1,3,RSA,4.0,le ROUX E,20,20 - 3,85,RSA,1:25
20 sec. exclusion in centre,11.0,1,3,RSA,4.0,MOLYNEUX N,20,20 - 3,60,RSA,1:00
Turnover foul,7.0,1,3,RSA,4.0,UBOVIC N,20,20 - 3,48,SRB,0:48
Steal,7.0,1,3,RSA,4.0,RABIE L,20,20 - 3,48,RSA,0:48
Turnover foul,11.0,1,3,RSA,4.0,MOLYNEUX N,20,20 - 3,22,RSA,0:22
Steal,6.0,1,3,RSA,4.0,PIJETLOVIC D,20,20 - 3,22,SRB,0:22
Action shot - Missed,6.0,1,3,RSA,4.0,PIJETLOVIC D,20,20 - 3,4,SRB,0:04
5m shot - Saved,1.0,1,3,RSA,4.0,LEWIS J,20,20 - 3,1,RSA,0:01
Starting goalkeeper,1.0,2,0,ESP,1.0,LOPEZ PINEDO D,0,0 - 0,480,ESP,8:00
Starting goalkeeper,13.0,2,0,ESP,1.0,MITROVIC B,0,0 - 0,480,SRB,8:00
Sprint won possession,3.0,2,0,ESP,1.0,RASOVIC V,0,0 - 0,480,SRB,8:00
5m shot - Blocked,11.0,2,0,ESP,1.0,MALLARACH GUELL B,0,0 - 0,451,ESP,7:31
Turnover foul,11.0,2,0,ESP,1.0,PRLAINOVIC A,0,0 - 0,422,SRB,7:02
Turnover foul,11.0,2,0,ESP,1.0,MALLARACH GUELL B,0,0 - 0,393,ESP,6:33
Turnover foul,9.0,2,0,ESP,1.0,JAKSIC N,0,0 - 0,364,SRB,6:04
5m shot - Saved,6.0,2,0,ESP,1.0,MINGUELL ALFEREZ M,0,0 - 0,335,ESP,5:35
20 sec. exclusion in field,4.0,2,0,ESP,1.0,del TORO M,0,0 - 0,294,ESP,4:54
Turnover foul,11.0,2,0,ESP,1.0,MALLARACH GUELL B,0,0 - 0,265,ESP,4:25
Steal,6.0,2,0,ESP,1.0,PIJETLOVIC D,0,0 - 0,265,SRB,4:25
Turnover foul,9.0,2,0,ESP,1.0,TAHULL COMPTE R,0,0 - 0,238,ESP,3:58
Steal,10.0,2,0,ESP,1.0,FILIPOVIC F,0,0 - 0,238,SRB,3:58
Turnover foul,6.0,2,0,ESP,1.0,PIJETLOVIC D,0,0 - 0,214,SRB,3:34
Steal,6.0,2,0,ESP,1.0,MINGUELL ALFEREZ M,0,0 - 0,214,ESP,3:34
20 sec. exclusion in field,3.0,2,0,ESP,1.0,RASOVIC V,0,0 - 0,193,SRB,3:13
Time-Out,,2,0,ESP,1.0,,0,0 - 0,192,ESP,3:12
Extra player shot - Goal,5.0,2,1,ESP,1.0,BUSTOS SANCHEZ A,0,1 - 0,176,ESP,2:56
20 sec. exclusion in centre,5.0,2,1,ESP,1.0,BUSTOS SANCHEZ A,0,1 - 0,153,ESP,2:33
Action shot - Goal,11.0,2,1,ESP,1.0,PRLAINOVIC A,1,1 - 1,148,SRB,2:28
Turnover foul,6.0,2,1,ESP,1.0,MINGUELL ALFEREZ M,1,1 - 1,125,ESP,2:05
20 sec. exclusion in centre,3.0,2,1,ESP,1.0,GRANADOS ORTEGA A,1,1 - 1,108,ESP,1:48
Extra player shot - Goal,11.0,2,1,ESP,1.0,PRLAINOVIC A,2,1 - 2,106,SRB,1:46
Goalkeeper substitution,13.0,2,1,ESP,1.0,MOTOS MARTIN J,2,1 - 2,97,ESP,1:37
Goalkeeper substitution,1.0,2,1,ESP,1.0,LOPEZ PINEDO D,2,1 - 2,97,ESP,1:37
Centre shot - Saved,9.0,2,1,ESP,1.0,TAHULL COMPTE R,2,1 - 2,97,ESP,1:37
Time-Out,,2,1,ESP,1.0,,2,1 - 2,87,SRB,1:27
Penalty shot - Goal,10.0,2,1,ESP,1.0,FILIPOVIC F,3,1 - 3,69,SRB,1:09
20 sec. exclusion in centre,4.0,2,1,ESP,1.0,del TORO M,3,1 - 3,69,ESP,1:09
20 sec. exclusion in centre,9.0,2,1,ESP,1.0,JAKSIC N,3,1 - 3,50,SRB,0:50
20 sec. exclusion in field,6.0,2,1,ESP,1.0,PIJETLOVIC D,3,1 - 3,27,SRB,0:27
Centre shot - Blocked,6.0,2,1,ESP,1.0,MINGUELL ALFEREZ M,3,1 - 3,13,ESP,0:13
Centre shot - Blocked,6.0,2,1,ESP,1.0,MINGUELL ALFEREZ M,3,1 - 3,3,ESP,0:03
Starting goalkeeper,1.0,2,1,ESP,2.0,LOPEZ PINEDO D,3,1 - 3,480,ESP,8:00
Starting goalkeeper,13.0,2,1,ESP,2.0,MITROVIC B,3,1 - 3,480,SRB,8:00
Starting goalkeeper,1.0,2,1,ESP,2.0,LOPEZ PINEDO D,3,1 - 3,480,ESP,8:00
Starting goalkeeper,13.0,2,1,ESP,2.0,MITROVIC B,3,1 - 3,480,SRB,8:00
Sprint won possession,11.0,2,1,ESP,2.0,PRLAINOVIC A,3,1 - 3,480,SRB,8:00
20 sec. exclusion in centre,9.0,2,1,ESP,2.0,TAHULL COMPTE R,3,1 - 3,458,ESP,7:38
Extra player shot - Goal,7.0,2,1,ESP,2.0,UBOVIC N,4,1 - 4,439,SRB,7:19
Turnover foul,4.0,2,1,ESP,2.0,del TORO M,4,1 - 4,411,ESP,6:51
Turnover foul,9.0,2,1,ESP,2.0,JAKSIC N,4,1 - 4,382,SRB,6:22
Turnover foul,5.0,2,1,ESP,2.0,BUSTOS SANCHEZ A,4,1 - 4,358,ESP,5:58
Centre shot - Goal,2.0,2,1,ESP,2.0,MANDIC D,5,1 - 5,329,SRB,5:29
Turnover foul,6.0,2,1,ESP,2.0,MINGUELL ALFEREZ M,5,1 - 5,302,ESP,5:02
Steal,6.0,2,1,ESP,2.0,PIJETLOVIC D,5,1 - 5,302,SRB,5:02
5m shot - Saved,11.0,2,1,ESP,2.0,PRLAINOVIC A,5,1 - 5,273,SRB,4:33
5m shot - Saved,6.0,2,1,ESP,2.0,MINGUELL ALFEREZ M,5,1 - 5,244,ESP,4:04
5m shot - Blocked,10.0,2,1,ESP,2.0,FILIPOVIC F,5,1 - 5,215,SRB,3:35
20 sec. exclusion in centre,10.0,2,1,ESP,2.0,FILIPOVIC F,5,1 - 5,195,SRB,3:15
Time-Out,,2,1,ESP,2.0,,5,1 - 5,195,ESP,3:15
Extra player shot - Blocked,2.0,2,1,ESP,2.0,MUNARRIZ EGANA A,5,1 - 5,171,ESP,2:51
5m shot - Saved,4.0,2,1,ESP,2.0,RANDELOVIC S,5,1 - 5,141,SRB,2:21
5m shot - Saved,11.0,2,1,ESP,2.0,MALLARACH GUELL B,5,1 - 5,115,ESP,1:55
20 sec. exclusion in centre,2.0,2,1,ESP,2.0,MUNARRIZ EGANA A,5,1 - 5,93,ESP,1:33
Time-Out,,2,1,ESP,2.0,,5,1 - 5,93,SRB,1:33
5m shot - Saved,10.0,2,1,ESP,2.0,FILIPOVIC F,5,1 - 5,73,SRB,1:13
Action shot - Blocked,5.0,2,1,ESP,2.0,BUSTOS SANCHEZ A,5,1 - 5,44,ESP,0:44
Turnover foul,9.0,2,1,ESP,2.0,JAKSIC N,5,1 - 5,29,SRB,0:29
Steal,9.0,2,1,ESP,2.0,TAHULL COMPTE R,5,1 - 5,29,ESP,0:29
20 sec. exclusion in centre,3.0,2,1,ESP,2.0,RASOVIC V,5,1 - 5,13,SRB,0:13
Steal,2.0,2,1,ESP,4.0,MANDIC D,5,1 - 5,74,SRB,1:14
Counter attack - Saved,7.0,2,1,ESP,4.0,UBOVIC N,5,1 - 5,64,SRB,1:04
5m shot - Saved,7.0,2,1,ESP,4.0,BARROSO MACARRO A,5,1 - 5,38,ESP,0:38
Turnover foul,9.0,2,1,ESP,4.0,JAKSIC N,5,1 - 5,22,SRB,0:22
Action shot - Blocked,5.0,2,1,ESP,2.0,BUSTOS SANCHEZ A,5,1 - 5,1,ESP,0:01
Starting goalkeeper,1.0,2,1,ESP,3.0,LOPEZ PINEDO D,5,1 - 5,480,ESP,8:00
Starting goalkeeper,13.0,2,1,ESP,3.0,MITROVIC B,5,1 - 5,480,SRB,8:00
Sprint won possession,3.0,2,1,ESP,3.0,GRANADOS ORTEGA A,5,1 - 5,480,ESP,8:00
20 sec. exclusion in field,7.0,2,1,ESP,3.0,UBOVIC N,5,1 - 5,453,SRB,7:33
Action shot - Goal,8.0,2,2,ESP,3.0,ESPANOL LIFANTE A,5,2 - 5,432,ESP,7:12
20 sec. exclusion in field,8.0,2,2,ESP,3.0,ESPANOL LIFANTE A,5,2 - 5,418,ESP,6:58
Extra player shot - Goal,8.0,2,2,ESP,3.0,ALEKSIC M,6,2 - 6,403,SRB,6:43
20 sec. exclusion in centre,4.0,2,2,ESP,3.0,RANDELOVIC S,6,2 - 6,383,SRB,6:23
Extra player shot - Goal,11.0,2,3,ESP,3.0,MALLARACH GUELL B,6,3 - 6,374,ESP,6:14
20 sec. exclusion in centre,5.0,2,3,ESP,3.0,BUSTOS SANCHEZ A,6,3 - 6,350,ESP,5:50
Extra player shot - Goal,10.0,2,3,ESP,3.0,FILIPOVIC F,7,3 - 7,337,SRB,5:37
5m shot - Post,9.0,2,3,ESP,3.0,JAKSIC N,7,3 - 7,291,SRB,4:51
Turnover foul,4.0,2,3,ESP,3.0,del TORO M,7,3 - 7,265,ESP,4:25
Steal,7.0,2,3,ESP,3.0,UBOVIC N,7,3 - 7,265,SRB,4:25
5m shot - Missed,9.0,2,3,ESP,3.0,JAKSIC N,7,3 - 7,239,SRB,3:59
5m shot - Post,11.0,2,3,ESP,3.0,MALLARACH GUELL B,7,3 - 7,216,ESP,3:36
5m shot - Post,10.0,2,3,ESP,3.0,FILIPOVIC F,7,3 - 7,200,SRB,3:20
Time-Out,,2,3,ESP,3.0,,7,3 - 7,198,ESP,3:18
Turnover foul,11.0,2,3,ESP,3.0,MALLARACH GUELL B,7,3 - 7,181,ESP,3:01
Steal,9.0,2,3,ESP,3.0,JAKSIC N,7,3 - 7,181,SRB,3:01
20 sec. exclusion in centre,6.0,2,3,ESP,3.0,MINGUELL ALFEREZ M,7,3 - 7,164,ESP,2:44
Action shot - Goal,12.0,2,3,ESP,3.0,MITORVIC S,8,3 - 8,161,SRB,2:41
20 sec. exclusion in field,11.0,2,3,ESP,3.0,PRLAINOVIC A,8,3 - 8,139,SRB,2:19
Extra player shot - Saved,2.0,2,3,ESP,3.0,MUNARRIZ EGANA A,8,3 - 8,127,ESP,2:07
Turnover foul,9.0,2,3,ESP,3.0,JAKSIC N,8,3 - 8,103,SRB,1:43
Steal,12.0,2,3,ESP,3.0,GUTIERREZ SANTIAGO,8,3 - 8,103,ESP,1:43
20 sec. exclusion in centre,12.0,2,3,ESP,3.0,MITORVIC S,8,3 - 8,80,SRB,1:20
Action shot - Blocked,6.0,2,3,ESP,3.0,MINGUELL ALFEREZ M,8,3 - 8,65,ESP,1:05
Time-Out,,2,3,ESP,3.0,,8,3 - 8,65,SRB,1:05
5m shot - Saved,8.0,2,3,ESP,3.0,ALEKSIC M,8,3 - 8,40,SRB,0:40
Turnover foul,6.0,2,3,ESP,3.0,MINGUELL ALFEREZ M,8,3 - 8,17,ESP,0:17
Steal,8.0,2,3,ESP,3.0,ALEKSIC M,8,3 - 8,17,SRB,0:17
5m shot - Post,3.0,2,3,ESP,3.0,RASOVIC V,8,3 - 8,1,SRB,0:01
Starting goalkeeper,1.0,2,3,ESP,4.0,LOPEZ PINEDO D,8,3 - 8,480,ESP,8:00
Starting goalkeeper,13.0,2,3,ESP,4.0,MITROVIC B,8,3 - 8,480,SRB,8:00
Sprint won possession,3.0,2,3,ESP,4.0,RASOVIC V,8,3 - 8,480,SRB,8:00
Turnover foul,6.0,2,3,ESP,4.0,PIJETLOVIC D,8,3 - 8,465,SRB,7:45
Steal,8.0,2,3,ESP,4.0,ESPANOL LIFANTE A,8,3 - 8,465,ESP,7:45
5m shot - Blocked,8.0,2,3,ESP,4.0,ESPANOL LIFANTE A,8,3 - 8,442,ESP,7:22
20 sec. exclusion in centre,3.0,2,3,ESP,4.0,RASOVIC V,8,3 - 8,438,SRB,7:18
Exclusion with substitution,3.0,2,3,ESP,4.0,RASOVIC V,8,3 - 8,438,SRB,7:18
20 sec. exclusion in field,6.0,2,3,ESP,4.0,MINGUELL ALFEREZ M,8,3 - 8,422,ESP,7:02
Extra player shot - Goal,6.0,2,3,ESP,4.0,PIJETLOVIC D,9,3 - 9,415,SRB,6:55
5m shot - Missed,4.0,2,3,ESP,4.0,del TORO M,9,3 - 9,388,ESP,6:28
5m shot - Saved,8.0,2,3,ESP,4.0,ALEKSIC M,9,3 - 9,364,SRB,6:04
Turnover foul,8.0,2,3,ESP,4.0,ALEKSIC M,9,3 - 9,334,SRB,5:34
Steal,2.0,2,3,ESP,4.0,MUNARRIZ EGANA A,9,3 - 9,334,ESP,5:34
Action shot - Goal,7.0,2,4,ESP,4.0,BARROSO MACARRO A,9,4 - 9,311,ESP,5:11
Centre shot - Goal,7.0,2,4,ESP,4.0,UBOVIC N,10,4 - 10,298,SRB,4:58
Turnover foul,12.0,2,4,ESP,4.0,GUTIERREZ SANTIAGO,10,4 - 10,267,ESP,4:27
Steal,4.0,2,4,ESP,4.0,RANDELOVIC S,10,4 - 10,267,SRB,4:27
5m shot - Post,12.0,2,4,ESP,4.0,MITORVIC S,10,4 - 10,240,SRB,4:00
20 sec. exclusion in centre,11.0,2,4,ESP,4.0,MALLARACH GUELL B,10,4 - 10,227,ESP,3:47
Extra player shot - Goal,5.0,2,4,ESP,4.0,CUK M,11,4 - 11,217,SRB,3:37
20 sec. exclusion in centre,9.0,2,4,ESP,4.0,JAKSIC N,11,4 - 11,198,SRB,3:18
Extra player shot - Saved,3.0,2,4,ESP,4.0,GRANADOS ORTEGA A,11,4 - 11,177,ESP,2:57
5m shot - Saved,4.0,2,4,ESP,4.0,RANDELOVIC S,11,4 - 11,151,SRB,2:31
Action shot - Blocked,2.0,2,4,ESP,4.0,MUNARRIZ EGANA A,11,4 - 11,122,ESP,2:02
5m shot - Saved,9.0,2,4,ESP,4.0,JAKSIC N,11,4 - 11,92,SRB,1:32
Turnover foul,3.0,2,4,ESP,4.0,GRANADOS ORTEGA A,11,4 - 11,74,ESP,1:14
